MemTotal:       788808324 kB
MemFree:        786529724 kB
MemAvailable:   782396332 kB
Buffers:             664 kB
Cached:           819928 kB
SwapCached:            0 kB
Active:           396924 kB
Inactive:          35192 kB
Active(anon):     311968 kB
Inactive(anon):        0 kB
Active(file):      84956 kB
Inactive(file):    35192 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        120500 kB
Mapped:            40032 kB
Shmem:            195172 kB
KReclaimable:      36128 kB
Slab:             234880 kB
SReclaimable:      36128 kB
SUnreclaim:       198752 kB
KernelStack:       17152 kB
PageTables:        16048 kB
SecPageTables:      4016 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394404160 kB
Committed_AS:     572508 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       79052 kB
VmallocChunk:          0 kB
Percpu:            69888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      317424 kB
DirectMap2M:     6731776 kB
DirectMap1G:    795869184 kB
