MemTotal:       788808328 kB
MemFree:        786778388 kB
MemAvailable:   782644772 kB
Buffers:             664 kB
Cached:           836556 kB
SwapCached:            0 kB
Active:           382124 kB
Inactive:          35288 kB
Active(anon):     297560 kB
Inactive(anon):        0 kB
Active(file):      84564 kB
Inactive(file):    35288 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         88052 kB
Mapped:            35080 kB
Shmem:            211852 kB
KReclaimable:      35972 kB
Slab:             233572 kB
SReclaimable:      35972 kB
SUnreclaim:       197600 kB
KernelStack:       16624 kB
PageTables:        10216 kB
SecPageTables:      4020 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394404164 kB
Committed_AS:     402800 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       78728 kB
VmallocChunk:          0 kB
Percpu:            69888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      331760 kB
DirectMap2M:     7766016 kB
DirectMap1G:    794820608 kB
