MemTotal:       788808320 kB
MemFree:        786793084 kB
MemAvailable:   782659584 kB
Buffers:             664 kB
Cached:           841520 kB
SwapCached:            0 kB
Active:           380668 kB
Inactive:          35368 kB
Active(anon):     296328 kB
Inactive(anon):        0 kB
Active(file):      84340 kB
Inactive(file):    35368 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         82472 kB
Mapped:            34772 kB
Shmem:            216832 kB
KReclaimable:      36348 kB
Slab:             233916 kB
SReclaimable:      36348 kB
SUnreclaim:       197568 kB
KernelStack:       16000 kB
PageTables:         7648 kB
SecPageTables:      4008 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394404160 kB
Committed_AS:     406904 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       78568 kB
VmallocChunk:          0 kB
Percpu:            69888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      298992 kB
DirectMap2M:     6750208 kB
DirectMap1G:    795869184 kB
