MemTotal:       519511192 kB
MemFree:        517343072 kB
MemAvailable:   514700352 kB
Buffers:             664 kB
Cached:           841444 kB
SwapCached:            0 kB
Active:           362948 kB
Inactive:          35712 kB
Active(anon):     278936 kB
Inactive(anon):        0 kB
Active(file):      84012 kB
Inactive(file):    35712 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         65388 kB
Mapped:            34628 kB
Shmem:            216732 kB
KReclaimable:      34644 kB
Slab:             285216 kB
SReclaimable:      34644 kB
SUnreclaim:       250572 kB
KernelStack:       10512 kB
PageTables:         4448 kB
SecPageTables:      6708 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    259755596 kB
Committed_AS:     349972 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      131188 kB
VmallocChunk:          0 kB
Percpu:            88128 kB
HardwareCorrupted:     0 kB
AnonHugePages:     14336 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      296960 kB
DirectMap2M:     6645760 kB
DirectMap1G:    523239424 kB
