MemTotal:       788847964 kB
MemFree:        785478128 kB
MemAvailable:   781308404 kB
Buffers:             664 kB
Cached:           868408 kB
SwapCached:            0 kB
Active:           407052 kB
Inactive:          35288 kB
Active(anon):     322800 kB
Inactive(anon):        0 kB
Active(file):      84252 kB
Inactive(file):    35288 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         81820 kB
Mapped:            34620 kB
Shmem:            243892 kB
KReclaimable:      43348 kB
Slab:             390776 kB
SReclaimable:      43348 kB
SUnreclaim:       347428 kB
KernelStack:       16160 kB
PageTables:         7268 kB
SecPageTables:      6060 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394423980 kB
Committed_AS:     430452 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       80004 kB
VmallocChunk:          0 kB
Percpu:            73216 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      350892 kB
DirectMap2M:     7788544 kB
DirectMap1G:    794820608 kB
