MemTotal:       788808336 kB
MemFree:        786814344 kB
MemAvailable:   782681172 kB
Buffers:             664 kB
Cached:           842040 kB
SwapCached:            0 kB
Active:           381876 kB
Inactive:          35344 kB
Active(anon):     297444 kB
Inactive(anon):        0 kB
Active(file):      84432 kB
Inactive(file):    35344 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         82764 kB
Mapped:            35084 kB
Shmem:            217284 kB
KReclaimable:      36944 kB
Slab:             233956 kB
SReclaimable:      36944 kB
SUnreclaim:       197012 kB
KernelStack:       15952 kB
PageTables:         7428 kB
SecPageTables:      4012 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394404168 kB
Committed_AS:     400388 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       78172 kB
VmallocChunk:          0 kB
Percpu:            69888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      311280 kB
DirectMap2M:     6737920 kB
DirectMap1G:    795869184 kB
