MemTotal:       788847980 kB
MemFree:        785612648 kB
MemAvailable:   781442128 kB
Buffers:             664 kB
Cached:           841172 kB
SwapCached:            0 kB
Active:           380676 kB
Inactive:          35284 kB
Active(anon):     297004 kB
Inactive(anon):        0 kB
Active(file):      83672 kB
Inactive(file):    35284 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         82348 kB
Mapped:            34912 kB
Shmem:            217244 kB
KReclaimable:      42340 kB
Slab:             388408 kB
SReclaimable:      42340 kB
SUnreclaim:       346068 kB
KernelStack:       15952 kB
PageTables:         6964 kB
SecPageTables:      6036 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394423988 kB
Committed_AS:     401968 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       79808 kB
VmallocChunk:          0 kB
Percpu:            73216 kB
HardwareCorrupted:     0 kB
AnonHugePages:      4096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      354988 kB
DirectMap2M:     7784448 kB
DirectMap1G:    794820608 kB
