MemTotal:       788808324 kB
MemFree:        786860084 kB
MemAvailable:   782726540 kB
Buffers:             664 kB
Cached:           841272 kB
SwapCached:            0 kB
Active:           380432 kB
Inactive:          35308 kB
Active(anon):     295968 kB
Inactive(anon):        0 kB
Active(file):      84464 kB
Inactive(file):    35308 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         82396 kB
Mapped:            34676 kB
Shmem:            216520 kB
KReclaimable:      36196 kB
Slab:             232608 kB
SReclaimable:      36196 kB
SUnreclaim:       196412 kB
KernelStack:       16144 kB
PageTables:         7608 kB
SecPageTables:      4020 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394404160 kB
Committed_AS:     406828 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       78664 kB
VmallocChunk:          0 kB
Percpu:            69888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      309232 kB
DirectMap2M:     6739968 kB
DirectMap1G:    795869184 kB
