MemTotal:       788847960 kB
MemFree:        785132628 kB
MemAvailable:   780963080 kB
Buffers:             664 kB
Cached:          1040268 kB
SwapCached:            0 kB
Active:           578968 kB
Inactive:          35172 kB
Active(anon):     495260 kB
Inactive(anon):        0 kB
Active(file):      83708 kB
Inactive(file):    35172 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         81872 kB
Mapped:            34564 kB
Shmem:            416388 kB
KReclaimable:      44368 kB
Slab:             391612 kB
SReclaimable:      44368 kB
SUnreclaim:       347244 kB
KernelStack:       14688 kB
PageTables:         6592 kB
SecPageTables:      6056 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394423980 kB
Committed_AS:     594016 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       78308 kB
VmallocChunk:          0 kB
Percpu:            73216 kB
HardwareCorrupted:     0 kB
AnonHugePages:     14336 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      340652 kB
DirectMap2M:     9895936 kB
DirectMap1G:    792723456 kB
