MemTotal:       788847952 kB
MemFree:        785106820 kB
MemAvailable:   780937268 kB
Buffers:             664 kB
Cached:          1040620 kB
SwapCached:            0 kB
Active:           579232 kB
Inactive:          35208 kB
Active(anon):     495184 kB
Inactive(anon):        0 kB
Active(file):      84048 kB
Inactive(file):    35208 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         81564 kB
Mapped:            34496 kB
Shmem:            416388 kB
KReclaimable:      43984 kB
Slab:             391536 kB
SReclaimable:      43984 kB
SUnreclaim:       347552 kB
KernelStack:       14656 kB
PageTables:         6428 kB
SecPageTables:      6068 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394423976 kB
Committed_AS:     594280 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       78276 kB
VmallocChunk:          0 kB
Percpu:            73216 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      344748 kB
DirectMap2M:    10940416 kB
DirectMap1G:    791674880 kB
