MemTotal:       788847964 kB
MemFree:        785229416 kB
MemAvailable:   781060104 kB
Buffers:             664 kB
Cached:          1040716 kB
SwapCached:            0 kB
Active:           579008 kB
Inactive:          35356 kB
Active(anon):     495016 kB
Inactive(anon):        0 kB
Active(file):      83992 kB
Inactive(file):    35356 kB
Unevictable:      508800 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         81308 kB
Mapped:            34632 kB
Shmem:            416392 kB
KReclaimable:      44364 kB
Slab:             391204 kB
SReclaimable:      44364 kB
SUnreclaim:       346840 kB
KernelStack:       14528 kB
PageTables:         6320 kB
SecPageTables:      6048 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    394423980 kB
Committed_AS:     594180 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       78164 kB
VmallocChunk:          0 kB
Percpu:            73216 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      373420 kB
DirectMap2M:     8814592 kB
DirectMap1G:    793772032 kB
