variant,kind,pulls,discoveries,discovery_rate_per_1k
V1,COMP_OUT_MOD,7448,4,0.5370569280343717
V1,INSTR_TYPE_MOD,7569,230,30.38710529792575
V1,INSTR_WORD_MOD_FULL,7552,44,5.826271186440678
V1,INSTR_WORD_MOD_SUR,7365,20,2.7155465037338766
V1,LOAD_VAL_MOD,7432,6,0.8073196986006459
V1,MEM_VAL_MOD,7538,95,12.60281241708676
V1,PRE_EXEC_REG_MOD,7548,28,3.7095919448860624
V1,STORE_OUT_MOD,7548,2,0.2649708532061473
V2,COMP_OUT_MOD,1042,4,3.838771593090211
V2,INSTR_TYPE_MOD,584,124,212.32876712328766
V2,INSTR_WORD_MOD_FULL,3763,40,10.629816635663035
V2,INSTR_WORD_MOD_SUR,51144,72,1.4077897700610043
V2,LOAD_VAL_MOD,963,6,6.230529595015576
V2,MEM_VAL_MOD,969,48,49.53560371517028
V2,PRE_EXEC_REG_MOD,608,21,34.53947368421053
V2,STORE_OUT_MOD,927,3,3.236245954692557
V3,COMP_OUT_MOD,2533,4,1.5791551519936833
V3,INSTR_TYPE_MOD,36750,280,7.619047619047619
V3,INSTR_WORD_MOD_FULL,3746,28,7.474639615589963
V3,INSTR_WORD_MOD_SUR,3778,18,4.764425622022234
V3,LOAD_VAL_MOD,2180,6,2.7522935779816513
V3,MEM_VAL_MOD,5162,54,10.461061604029446
V3,PRE_EXEC_REG_MOD,3755,28,7.456724367509986
V3,STORE_OUT_MOD,2096,3,1.4312977099236641
V4,COMP_OUT_MOD,1338,5,3.7369207772795217
V4,INSTR_TYPE_MOD,38090,275,7.219742714623261
V4,INSTR_WORD_MOD_FULL,3777,25,6.619009796134498
V4,INSTR_WORD_MOD_SUR,3374,27,8.002371072910492
V4,LOAD_VAL_MOD,878,7,7.972665148063781
V4,MEM_VAL_MOD,4905,42,8.562691131498472
V4,PRE_EXEC_REG_MOD,6679,36,5.390028447372361
V4,STORE_OUT_MOD,959,2,2.0855057351407718
V5,COMP_OUT_MOD,4810,20,4.158004158004158
V5,INSTR_TYPE_MOD,13122,261,19.89026063100137
V5,INSTR_WORD_MOD_FULL,8401,20,2.3806689679800024
V5,INSTR_WORD_MOD_SUR,8400,13,1.5476190476190477
V5,LOAD_VAL_MOD,2400,0,0.0
V5,MEM_VAL_MOD,10840,134,12.361623616236162
V5,PRE_EXEC_REG_MOD,9627,16,1.661992313285551
V5,STORE_OUT_MOD,2400,0,0.0
