variant,seed,kind,pulls,discoveries,discovery_rate_per_1k
V1,1234,COMP_OUT_MOD,732,2,2.73224043715847
V1,1234,LOAD_VAL_MOD,779,0,0.0
V1,1234,STORE_OUT_MOD,790,0,0.0
V1,1234,PRE_EXEC_REG_MOD,728,4,5.4945054945054945
V1,1234,INSTR_TYPE_MOD,734,23,31.33514986376022
V1,1234,MEM_VAL_MOD,774,7,9.043927648578812
V1,1234,INSTR_WORD_MOD_FULL,720,5,6.944444444444445
V1,1234,INSTR_WORD_MOD_SUR,743,4,5.383580080753701
V1,1235,COMP_OUT_MOD,727,0,0.0
V1,1235,LOAD_VAL_MOD,717,0,0.0
V1,1235,STORE_OUT_MOD,808,0,0.0
V1,1235,PRE_EXEC_REG_MOD,766,3,3.91644908616188
V1,1235,INSTR_TYPE_MOD,710,21,29.577464788732396
V1,1235,MEM_VAL_MOD,766,11,14.360313315926893
V1,1235,INSTR_WORD_MOD_FULL,808,6,7.425742574257426
V1,1235,INSTR_WORD_MOD_SUR,698,3,4.2979942693409745
V1,1236,COMP_OUT_MOD,721,0,0.0
V1,1236,LOAD_VAL_MOD,687,0,0.0
V1,1236,STORE_OUT_MOD,756,0,0.0
V1,1236,PRE_EXEC_REG_MOD,795,0,0.0
V1,1236,INSTR_TYPE_MOD,749,24,32.04272363150868
V1,1236,MEM_VAL_MOD,738,13,17.615176151761517
V1,1236,INSTR_WORD_MOD_FULL,793,6,7.566204287515763
V1,1236,INSTR_WORD_MOD_SUR,761,0,0.0
V1,1237,COMP_OUT_MOD,740,0,0.0
V1,1237,LOAD_VAL_MOD,754,0,0.0
V1,1237,STORE_OUT_MOD,719,2,2.7816411682892905
V1,1237,PRE_EXEC_REG_MOD,785,3,3.821656050955414
V1,1237,INSTR_TYPE_MOD,802,23,28.678304239401495
V1,1237,MEM_VAL_MOD,750,10,13.333333333333334
V1,1237,INSTR_WORD_MOD_FULL,739,3,4.059539918809202
V1,1237,INSTR_WORD_MOD_SUR,711,1,1.4064697609001406
V1,1238,COMP_OUT_MOD,742,2,2.6954177897574123
V1,1238,LOAD_VAL_MOD,722,0,0.0
V1,1238,STORE_OUT_MOD,738,0,0.0
V1,1238,PRE_EXEC_REG_MOD,760,4,5.2631578947368425
V1,1238,INSTR_TYPE_MOD,801,25,31.210986267166042
V1,1238,MEM_VAL_MOD,731,8,10.943912448700411
V1,1238,INSTR_WORD_MOD_FULL,744,1,1.3440860215053763
V1,1238,INSTR_WORD_MOD_SUR,762,3,3.937007874015748
V1,1239,COMP_OUT_MOD,760,0,0.0
V1,1239,LOAD_VAL_MOD,726,2,2.7548209366391183
V1,1239,STORE_OUT_MOD,750,0,0.0
V1,1239,PRE_EXEC_REG_MOD,720,3,4.166666666666667
V1,1239,INSTR_TYPE_MOD,772,22,28.497409326424872
V1,1239,MEM_VAL_MOD,776,11,14.175257731958762
V1,1239,INSTR_WORD_MOD_FULL,760,3,3.9473684210526314
V1,1239,INSTR_WORD_MOD_SUR,736,3,4.076086956521739
V1,1240,COMP_OUT_MOD,767,0,0.0
V1,1240,LOAD_VAL_MOD,768,2,2.6041666666666665
V1,1240,STORE_OUT_MOD,695,0,0.0
V1,1240,PRE_EXEC_REG_MOD,786,5,6.361323155216285
V1,1240,INSTR_TYPE_MOD,749,22,29.37249666221629
V1,1240,MEM_VAL_MOD,765,7,9.15032679738562
V1,1240,INSTR_WORD_MOD_FULL,716,5,6.983240223463687
V1,1240,INSTR_WORD_MOD_SUR,754,2,2.6525198938992043
V1,1241,COMP_OUT_MOD,754,0,0.0
V1,1241,LOAD_VAL_MOD,716,0,0.0
V1,1241,STORE_OUT_MOD,791,0,0.0
V1,1241,PRE_EXEC_REG_MOD,722,4,5.54016620498615
V1,1241,INSTR_TYPE_MOD,761,22,28.90932982917214
V1,1241,MEM_VAL_MOD,755,8,10.596026490066226
V1,1241,INSTR_WORD_MOD_FULL,755,8,10.596026490066226
V1,1241,INSTR_WORD_MOD_SUR,746,0,0.0
V1,1242,COMP_OUT_MOD,731,0,0.0
V1,1242,LOAD_VAL_MOD,802,2,2.493765586034913
V1,1242,STORE_OUT_MOD,740,0,0.0
V1,1242,PRE_EXEC_REG_MOD,744,2,2.6881720430107525
V1,1242,INSTR_TYPE_MOD,751,24,31.957390146471372
V1,1242,MEM_VAL_MOD,750,7,9.333333333333334
V1,1242,INSTR_WORD_MOD_FULL,750,4,5.333333333333333
V1,1242,INSTR_WORD_MOD_SUR,732,3,4.098360655737705
V1,1243,COMP_OUT_MOD,774,0,0.0
V1,1243,LOAD_VAL_MOD,761,0,0.0
V1,1243,STORE_OUT_MOD,761,0,0.0
V1,1243,PRE_EXEC_REG_MOD,742,0,0.0
V1,1243,INSTR_TYPE_MOD,740,24,32.432432432432435
V1,1243,MEM_VAL_MOD,733,13,17.735334242837652
V1,1243,INSTR_WORD_MOD_FULL,767,3,3.911342894393742
V1,1243,INSTR_WORD_MOD_SUR,722,1,1.3850415512465375
V2,1234,COMP_OUT_MOD,98,2,20.408163265306122
V2,1234,LOAD_VAL_MOD,93,0,0.0
V2,1234,STORE_OUT_MOD,98,0,0.0
V2,1234,PRE_EXEC_REG_MOD,64,3,46.875
V2,1234,INSTR_TYPE_MOD,60,10,166.66666666666666
V2,1234,MEM_VAL_MOD,106,5,47.16981132075472
V2,1234,INSTR_WORD_MOD_FULL,327,4,12.232415902140673
V2,1234,INSTR_WORD_MOD_SUR,5154,8,1.5521924718665114
V2,1235,COMP_OUT_MOD,100,0,0.0
V2,1235,LOAD_VAL_MOD,95,0,0.0
V2,1235,STORE_OUT_MOD,90,0,0.0
V2,1235,PRE_EXEC_REG_MOD,50,3,60.0
V2,1235,INSTR_TYPE_MOD,61,14,229.50819672131146
V2,1235,MEM_VAL_MOD,106,7,66.0377358490566
V2,1235,INSTR_WORD_MOD_FULL,260,2,7.6923076923076925
V2,1235,INSTR_WORD_MOD_SUR,5238,8,1.5273004963726613
V2,1236,COMP_OUT_MOD,108,0,0.0
V2,1236,LOAD_VAL_MOD,102,0,0.0
V2,1236,STORE_OUT_MOD,94,0,0.0
V2,1236,PRE_EXEC_REG_MOD,55,2,36.36363636363637
V2,1236,INSTR_TYPE_MOD,52,10,192.30769230769232
V2,1236,MEM_VAL_MOD,73,5,68.4931506849315
V2,1236,INSTR_WORD_MOD_FULL,452,4,8.849557522123893
V2,1236,INSTR_WORD_MOD_SUR,5064,9,1.7772511848341233
V2,1237,COMP_OUT_MOD,108,0,0.0
V2,1237,LOAD_VAL_MOD,99,0,0.0
V2,1237,STORE_OUT_MOD,97,2,20.61855670103093
V2,1237,PRE_EXEC_REG_MOD,65,3,46.15384615384615
V2,1237,INSTR_TYPE_MOD,56,14,250.0
V2,1237,MEM_VAL_MOD,90,9,100.0
V2,1237,INSTR_WORD_MOD_FULL,382,2,5.2356020942408374
V2,1237,INSTR_WORD_MOD_SUR,5103,5,0.9798157946306094
V2,1238,COMP_OUT_MOD,106,2,18.867924528301888
V2,1238,LOAD_VAL_MOD,98,0,0.0
V2,1238,STORE_OUT_MOD,92,0,0.0
V2,1238,PRE_EXEC_REG_MOD,65,2,30.76923076923077
V2,1238,INSTR_TYPE_MOD,55,11,200.0
V2,1238,MEM_VAL_MOD,92,2,21.73913043478261
V2,1238,INSTR_WORD_MOD_FULL,382,6,15.706806282722512
V2,1238,INSTR_WORD_MOD_SUR,5110,9,1.761252446183953
V2,1239,COMP_OUT_MOD,120,0,0.0
V2,1239,LOAD_VAL_MOD,90,2,22.22222222222222
V2,1239,STORE_OUT_MOD,90,0,0.0
V2,1239,PRE_EXEC_REG_MOD,54,3,55.55555555555556
V2,1239,INSTR_TYPE_MOD,54,13,240.74074074074073
