variant,reference,metric,v0_mean,variant_mean,variant_std,n_obs,delta_abs,delta_pct,paired_n_pairs,paired_t_pvalue,paired_mean_diff
V0,V0,local_context_final,35.0,35.0,1.5634719199411433,10,0.0,0.0,,,
V0,V0,local_context_AUC,189086.1,189086.1,7749.3432725331995,10,0.0,0.0,,,
V0,V0,compressed_global_context_final,140.7,140.7,7.846442930823283,10,0.0,0.0,,,
V0,V0,time_to_43,,,,0,0.0,0.0,,,
V0,V0,local_coverage_v2_final,531.7,531.7,13.77638881887735,10,0.0,0.0,,,
V0,V0,allocation_entropy_by_zone,1.9416421298260702,1.9416421298260702,0.011635166458534922,10,0.0,0.0,,,
V0,V0,allocation_entropy_by_kind,2.970867377632075,2.970867377632075,0.00392535340164926,10,0.0,0.0,,,
V1,V0,local_context_final,35.0,42.9,1.1972189997378646,10,7.899999999999999,22.57142857142857,10.0,1.1155961836001917e-07,7.899999999999999
V1,V0,local_context_AUC,189086.1,228142.3,8157.365568068597,10,39056.19999999998,20.655246472374216,10.0,2.3030349047188216e-07,39056.19999999998
V1,V0,compressed_global_context_final,140.7,144.2,6.679986693266852,10,3.5,2.4875621890547266,10.0,0.05304241777074675,3.5
V1,V0,time_to_43,,4365.833333333333,1148.087699902175,6,,,,,
V1,V0,local_coverage_v2_final,531.7,565.6,18.42823919966311,10,33.89999999999998,6.37577581342862,10.0,0.0007194751238058248,33.89999999999998
V1,V0,allocation_entropy_by_zone,1.9416421298260702,2.201806234664475,0.01263995760057426,10,0.2601641048384047,13.399179016666157,10.0,2.667363964772034e-12,0.2601641048384047
V1,V0,allocation_entropy_by_kind,2.970867377632075,2.9990857531014283,0.0005260265989059238,10,0.02821837546935324,0.9498362559638946,,,
V2,V0,local_context_final,35.0,31.8,1.6193277068654823,10,-3.1999999999999993,-9.14285714285714,10.0,0.0045675497854477266,-3.1999999999999993
V2,V0,local_context_AUC,189086.1,177804.0,10398.356900117547,10,-11282.100000000006,-5.966646940203433,10.0,0.028781360623237204,-11282.100000000006
V2,V0,compressed_global_context_final,140.7,87.7,3.16403399335581,10,-52.999999999999986,-37.6687988628287,10.0,7.432928195558983e-09,-52.999999999999986
V2,V0,time_to_43,,,,0,,,,,
V2,V0,local_coverage_v2_final,531.7,283.7,9.345824973989426,10,-248.00000000000006,-46.642843708858386,10.0,1.5239835609548478e-11,-248.00000000000006
V2,V0,allocation_entropy_by_zone,1.9416421298260702,2.086905268324074,0.02209564203705376,10,0.14526313849800365,7.481457899299709,10.0,1.3534328561050265e-08,0.14526313849800365
V2,V0,allocation_entropy_by_kind,2.970867377632075,0.9620391451400699,0.056656152238715424,10,-2.008828232492005,-67.61756676237557,,,
V3,V0,local_context_final,35.0,42.1,1.728840330651992,10,7.100000000000001,20.28571428571429,10.0,2.320244368701433e-06,7.100000000000001
V3,V0,local_context_AUC,189086.1,233650.35,5998.253797055347,10,44564.25,23.568231615121366,10.0,2.464056270554105e-07,44564.25
V3,V0,compressed_global_context_final,140.7,138.3,5.907622195096772,10,-2.3999999999999773,-1.7057569296375106,10.0,0.48517764988371964,-2.3999999999999773
V3,V0,time_to_43,,3986.6666666666665,1906.0877034736186,3,,,,,
V3,V0,local_coverage_v2_final,531.7,737.8,11.093541664710449,10,206.0999999999999,38.76246003385366,10.0,4.979442834957353e-13,206.0999999999999
V3,V0,allocation_entropy_by_zone,1.9416421298260702,2.1964526106214555,0.02598546521045842,10,0.25481048079538526,13.123452405630013,10.0,1.758568348116005e-10,0.25481048079538526
V3,V0,allocation_entropy_by_kind,2.970867377632075,2.0167528287698886,0.05372449326615461,10,-0.9541145488621865,-32.11568971559619,,,
V4,V0,local_context_final,35.0,41.9,2.131770260709264,10,6.899999999999999,19.71428571428571,10.0,6.798844440899289e-07,6.899999999999999
V4,V0,local_context_AUC,189086.1,235617.7,8170.500553141704,10,46531.600000000006,24.60868355738471,10.0,1.433198461581663e-07,46531.600000000006
V4,V0,compressed_global_context_final,140.7,142.5,6.670832032063167,10,1.8000000000000114,1.2793176972281532,10.0,0.5534386963391992,1.8000000000000114
V4,V0,time_to_43,,3597.2,826.6454499965508,5,,,,,
V4,V0,local_coverage_v2_final,531.7,748.2,5.633234713140696,10,216.5,40.718450253902574,10.0,3.5755721844898412e-12,216.5
V4,V0,allocation_entropy_by_zone,1.9416421298260702,2.175505853565716,0.02409001204176273,10,0.23386372373964592,12.044635834132581,10.0,5.266154267805222e-10,0.23386372373964592
V4,V0,allocation_entropy_by_kind,2.970867377632075,1.8524949571893892,0.03672410427851977,10,-1.118372420442686,-37.64464307168376,,,
V5,V0,local_context_final,35.0,46.4,0.6992058987801011,10,11.399999999999999,32.57142857142856,10.0,2.795030866830272e-09,11.399999999999999
V5,V0,local_context_AUC,189086.1,264554.7,5861.834824618578,10,75468.6,39.91229392324449,10.0,1.405149551824768e-10,75468.6
V5,V0,compressed_global_context_final,140.7,188.1,5.23768396653839,10,47.400000000000006,33.68869936034116,10.0,2.9272832977976337e-07,47.400000000000006
V5,V0,time_to_43,,1017.1,411.2715918006278,10,,,,,
V5,V0,local_coverage_v2_final,531.7,684.5,23.599670430843826,10,152.79999999999995,28.738010156103055,10.0,3.299655683207869e-08,152.79999999999995
V5,V0,allocation_entropy_by_zone,1.9416421298260702,3.2712353927071676,0.0012135699568567727,10,1.3295932628810974,68.47777159636522,10.0,6.199422061336711e-20,1.3295932628810974
V5,V0,allocation_entropy_by_kind,2.970867377632075,2.8067786982603344,0.00022177148282578505,10,-0.16408867937174065,-5.5232583119387595,,,
