keying,set_name,count,sample_locs
raw,V0_union,42,AddrDecompose@u32.zir:67;AddrDecomposeBits@u32.zir:87;ControlLoadRootAndNonce@inst_control.zir:23;ControlMRET@inst_control.zir:89;ControlMRET@inst_control.zir:91
raw,V1_union,46,AddrDecompose@u32.zir:67;AddrDecomposeBits@u32.zir:87;ControlLoadRootAndNonce@inst_control.zir:23;ControlMRET@inst_control.zir:89;ControlMRET@inst_control.zir:91
raw,V5_union,50,AddrDecompose@u32.zir:67;AddrDecomposeBits@u32.zir:87;ControlLoadRootAndNonce@inst_control.zir:23;ControlLoadRootAndNonce@inst_control.zir:35;ControlLoadRootAndNonce@inst_control.zir:44
raw,V6_union,125,AddrDecompose(zirgen/circuit/rv32im/v2/dsl/u32.zir:67);AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87);ControlMRET(zirgen/circuit/rv32im/v2/dsl/inst_control.zir:89);ControlMRET(zirgen/circuit/rv32im/v2/dsl/inst_control.zir:91);ControlMRET(zirgen/circuit/rv32im/v2/dsl/inst_control.zir:92)
raw,A4_reachable_union_V0_V5,51,AddrDecompose@u32.zir:67;AddrDecomposeBits@u32.zir:87;ControlLoadRootAndNonce@inst_control.zir:23;ControlLoadRootAndNonce@inst_control.zir:35;ControlLoadRootAndNonce@inst_control.zir:36
raw,V6_intersect_A4_reachable,0,
raw,V6_exclusive_vs_A4,125,AddrDecompose(zirgen/circuit/rv32im/v2/dsl/u32.zir:67);AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87);ControlMRET(zirgen/circuit/rv32im/v2/dsl/inst_control.zir:89);ControlMRET(zirgen/circuit/rv32im/v2/dsl/inst_control.zir:91);ControlMRET(zirgen/circuit/rv32im/v2/dsl/inst_control.zir:92)
raw,V5_novel_4_union,4,ControlLoadRootAndNonce:inst_control.zir:35;ControlLoadRootAndNonce:inst_control.zir:44;ControlLoadRootAndNonce:inst_control.zir:45;ControlMRET:inst_control.zir:93
raw,V5_novel_4_hit_by_V6,0,
raw,V5_novel_4_missed_by_V6,4,ControlLoadRootAndNonce:inst_control.zir:35;ControlLoadRootAndNonce:inst_control.zir:44;ControlLoadRootAndNonce:inst_control.zir:45;ControlMRET:inst_control.zir:93
raw,V6_intersect_V1,0,
raw,V6_intersect_V5,0,
raw,V1_exclusive_vs_V6,46,AddrDecompose@u32.zir:67;AddrDecomposeBits@u32.zir:87;ControlLoadRootAndNonce@inst_control.zir:23;ControlMRET@inst_control.zir:89;ControlMRET@inst_control.zir:91
raw,V5_exclusive_vs_V6,50,AddrDecompose@u32.zir:67;AddrDecomposeBits@u32.zir:87;ControlLoadRootAndNonce@inst_control.zir:23;ControlLoadRootAndNonce@inst_control.zir:35;ControlLoadRootAndNonce@inst_control.zir:44
normalized,V0_union,42,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlLoadRootAndNonce:inst_control.zir:23;ControlMRET:inst_control.zir:89;ControlMRET:inst_control.zir:91
normalized,V1_union,46,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlLoadRootAndNonce:inst_control.zir:23;ControlMRET:inst_control.zir:89;ControlMRET:inst_control.zir:91
normalized,V5_union,50,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlLoadRootAndNonce:inst_control.zir:23;ControlLoadRootAndNonce:inst_control.zir:35;ControlLoadRootAndNonce:inst_control.zir:44
normalized,V6_union,125,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlMRET:inst_control.zir:89;ControlMRET:inst_control.zir:91;ControlMRET:inst_control.zir:92
normalized,A4_reachable_union_V0_V5,51,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlLoadRootAndNonce:inst_control.zir:23;ControlLoadRootAndNonce:inst_control.zir:35;ControlLoadRootAndNonce:inst_control.zir:36
normalized,V6_intersect_A4_reachable,20,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlMRET:inst_control.zir:89;ControlMRET:inst_control.zir:91;ControlMRET:inst_control.zir:92
normalized,V6_exclusive_vs_A4,105,ECallTerminate:inst_ecall.zir:46;PoseidonEcall:inst_p2.zir:96;loc(callsite( IsRead ( zirgen/circuit/rv32im/v2/dsl/mem.zir :79:22) at  MemoryRead ( zirgen/circuit/rv32im/v2/dsl/mem.zir :90:10)));loc(callsite( IsRead ( zirgen/circuit/rv32im/v2/dsl/mem.zir :80:23) at  MemoryRead ( zirgen/circuit/rv32im/v2/dsl/mem.zir :90:10)));loc(callsite( OpLHU ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :123:20) at  Mem0 ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :57:11)))
normalized,V5_novel_4_union,4,ControlLoadRootAndNonce:inst_control.zir:35;ControlLoadRootAndNonce:inst_control.zir:44;ControlLoadRootAndNonce:inst_control.zir:45;ControlMRET:inst_control.zir:93
normalized,V5_novel_4_hit_by_V6,0,
normalized,V5_novel_4_missed_by_V6,4,ControlLoadRootAndNonce:inst_control.zir:35;ControlLoadRootAndNonce:inst_control.zir:44;ControlLoadRootAndNonce:inst_control.zir:45;ControlMRET:inst_control.zir:93
normalized,V6_intersect_V1,20,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlMRET:inst_control.zir:89;ControlMRET:inst_control.zir:91;ControlMRET:inst_control.zir:92
normalized,V6_intersect_V5,20,AddrDecompose:u32.zir:67;AddrDecomposeBits:u32.zir:87;ControlMRET:inst_control.zir:89;ControlMRET:inst_control.zir:91;ControlMRET:inst_control.zir:92
normalized,V1_exclusive_vs_V6,26,ControlLoadRootAndNonce:inst_control.zir:23;DivInput:inst_div.zir:8;ECallHostReadSetup:inst_ecall.zir:76;ECallHostReadWords:inst_ecall.zir:171;IllegalLoadOp:inst_mem.zir:40
normalized,V5_exclusive_vs_V6,30,ControlLoadRootAndNonce:inst_control.zir:23;ControlLoadRootAndNonce:inst_control.zir:35;ControlLoadRootAndNonce:inst_control.zir:44;ControlLoadRootAndNonce:inst_control.zir:45;ControlMRET:inst_control.zir:93
