variant,constraint_loc,mean_v2_cells,std_v2_cells,seeds_present
V1,AddrDecompose@u32.zir:67,37.6,2.4129281427805145,10
V1,AddrDecomposeBits@u32.zir:87,21.6,1.3498971154211061,10
V1,ControlLoadRootAndNonce@inst_control.zir:23,1.0,0.0,10
V1,ControlMRET@inst_control.zir:89,1.0,0.0,10
V1,ControlMRET@inst_control.zir:91,1.0,0.0,8
V1,ControlMRET@inst_control.zir:92,1.0,0.0,8
V1,ControlUserECALL@inst_control.zir:75,1.0,0.0,10
V1,ControlUserECALL@inst_control.zir:77,1.0,0.0,7
V1,ControlUserECALL@inst_control.zir:78,1.0,0.0,7
V1,DecodeInst@inst.zir:29,26.5,0.97182531580755,10
V1,DivInput@inst_div.zir:8,3.0,1.632993161855452,10
V1,ECall0@inst_ecall.zir:203,3.4,0.5163977794943222,10
V1,ECallHostReadSetup@inst_ecall.zir:70,1.0,0.0,10
V1,ECallHostReadSetup@inst_ecall.zir:76,1.0,0.0,5
V1,ECallHostReadWords@inst_ecall.zir:171,1.0,0.0,2
V1,IllegalLoadOp@inst_mem.zir:40,2.6,0.6992058987801011,10
V1,IllegalMulOp@inst_mul.zir:18,2.0,0.0,10
V1,IllegalStoreOp@inst_mem.zir:45,4.2,0.7888106377466154,10
V1,IsRead@mem.zir:79,42.6,2.6331223544175337,10
V1,IsRead@mem.zir:80,36.2,2.2997584414213774,10
V1,MachineECall@inst_ecall.zir:28,1.0,0.0,10
V1,MachineECall@inst_ecall.zir:29,1.0,0.0,10
V1,MachineECall@inst_ecall.zir:32,1.0,0.0,6
V1,MemLoadInput@inst_mem.zir:8,3.0,1.4907119849998598,10
V1,MemStoreInput@inst_mem.zir:18,2.9,1.449137674618944,10
V1,MemoryWrite@mem.zir:100,75.5,4.503085362035432,10
V1,MemoryWrite@mem.zir:99,83.4,3.8064273129653876,10
V1,MiscInput@inst_misc.zir:7,14.3,3.020301677353145,10
V1,MulInput@inst_mul.zir:8,2.9,0.8755950357709131,10
V1,OneHot@one_hot.zir:11,37.4,4.52646538580479,10
V1,OneHot@one_hot.zir:9,37.4,4.52646538580479,10
V1,OpLH@inst_mem.zir:98,1.0,0.0,10
V1,OpLHU@inst_mem.zir:123,1.0,0.0,10
V1,OpLW@inst_mem.zir:108,1.0,0.0,10
V1,OpLW@inst_mem.zir:109,1.0,0.0,10
V1,OpSH@inst_mem.zir:148,1.0,0.0,10
V1,OpSW@inst_mem.zir:160,1.0,0.0,10
V1,OpSW@inst_mem.zir:161,1.0,0.0,10
V1,PoseidonCheckOut@inst_p2.zir:265,1.0,0.0,10
V1,Sha0@inst_sha.zir:226,1.0,0.0,6
V1,VerifyOpcode@inst.zir:91,3.0,0.0,10
V1,VerifyOpcodeF3@inst.zir:96,21.0,0.0,10
V1,VerifyOpcodeF3@inst.zir:97,21.0,0.0,10
V1,VerifyOpcodeF3F7@inst.zir:102,22.0,0.0,10
V1,VerifyOpcodeF3F7@inst.zir:103,21.3,0.4830458915396482,10
V1,VerifyOpcodeF3F7@inst.zir:104,21.9,0.31622776601683755,10
V2,AddrDecompose@u32.zir:67,11.1,4.201851443775179,10
V2,AddrDecomposeBits@u32.zir:87,7.0,3.018461712712472,10
V2,ControlLoadRootAndNonce@inst_control.zir:23,1.0,0.0,10
V2,ControlMRET@inst_control.zir:89,1.0,0.0,10
V2,ControlMRET@inst_control.zir:91,1.0,0.0,3
V2,ControlMRET@inst_control.zir:92,1.0,0.0,3
V2,ControlUserECALL@inst_control.zir:75,1.0,0.0,10
V2,ControlUserECALL@inst_control.zir:77,1.0,0.0,3
V2,ControlUserECALL@inst_control.zir:78,1.0,0.0,3
V2,DecodeInst@inst.zir:29,25.7,1.636391694484477,10
V2,DivInput@inst_div.zir:8,1.0,0.0,2
V2,ECall0@inst_ecall.zir:203,3.3,0.4830458915396479,10
V2,ECallHostReadSetup@inst_ecall.zir:70,1.0,0.0,4
V2,ECallHostReadWords@inst_ecall.zir:171,1.0,,1
V2,IllegalLoadOp@inst_mem.zir:40,1.5,0.5477225575051661,6
V2,IllegalMulOp@inst_mul.zir:18,1.0,0.0,2
V2,IllegalStoreOp@inst_mem.zir:45,1.5,0.5773502691896257,4
V2,IsRead@mem.zir:79,22.7,1.828782229912694,10
V2,IsRead@mem.zir:80,21.1,2.131770260709264,10
V2,MachineECall@inst_ecall.zir:28,1.0,0.0,10
V2,MachineECall@inst_ecall.zir:29,1.0,0.0,10
V2,MachineECall@inst_ecall.zir:32,1.0,,1
V2,MemLoadInput@inst_mem.zir:8,1.0,0.0,3
V2,MemStoreInput@inst_mem.zir:18,1.0,0.0,2
V2,MemoryWrite@mem.zir:100,36.5,1.509230856356236,10
V2,MemoryWrite@mem.zir:99,41.9,1.8529256146249728,10
V2,MiscInput@inst_misc.zir:7,2.4,1.3498971154211057,10
V2,MulInput@inst_mul.zir:8,1.0,0.0,2
V2,OneHot@one_hot.zir:11,5.3,2.1628170930011112,10
V2,OneHot@one_hot.zir:9,5.3,2.1628170930011112,10
V2,OpLH@inst_mem.zir:98,1.0,,1
V2,OpLHU@inst_mem.zir:123,1.0,0.0,3
V2,OpLW@inst_mem.zir:108,1.0,0.0,10
V2,OpLW@inst_mem.zir:109,1.0,0.0,10
V2,OpSH@inst_mem.zir:148,1.0,0.0,4
V2,OpSW@inst_mem.zir:160,1.0,0.0,10
V2,OpSW@inst_mem.zir:161,1.0,0.0,10
V2,PoseidonCheckOut@inst_p2.zir:265,1.0,0.0,10
V2,Sha0@inst_sha.zir:226,1.0,,1
V2,VerifyOpcode@inst.zir:91,3.0,0.0,10
V2,VerifyOpcodeF3@inst.zir:96,18.2,1.3165611772087666,10
V2,VerifyOpcodeF3@inst.zir:97,19.2,1.2292725943057183,10
V2,VerifyOpcodeF3F7@inst.zir:102,16.0,2.748737083745107,10
V2,VerifyOpcodeF3F7@inst.zir:103,15.7,2.2632326929023936,10
V2,VerifyOpcodeF3F7@inst.zir:104,14.0,2.449489742783178,10
V3,AddrDecompose@u32.zir:67,61.2,2.973961069759395,10
V3,AddrDecomposeBits@u32.zir:87,33.2,2.25092573548455,10
V3,ControlLoadRootAndNonce@inst_control.zir:23,1.0,0.0,10
V3,ControlLoadRootAndNonce@inst_control.zir:35,1.0,0.0,2
V3,ControlLoadRootAndNonce@inst_control.zir:36,1.0,,1
V3,ControlMRET@inst_control.zir:89,1.0,0.0,10
V3,ControlMRET@inst_control.zir:91,1.0,0.0,2
V3,ControlMRET@inst_control.zir:92,1.0,0.0,2
V3,ControlMRET@inst_control.zir:93,1.0,,1
V3,ControlUserECALL@inst_control.zir:75,1.0,0.0,10
V3,ControlUserECALL@inst_control.zir:77,1.0,0.0,7
V3,ControlUserECALL@inst_control.zir:78,1.0,0.0,7
V3,DecodeInst@inst.zir:29,26.9,1.5238839267549942,10
V3,DivInput@inst_div.zir:8,9.5,1.5811388300841898,10
V3,ECall0@inst_ecall.zir:203,3.8,0.421637021355784,10
V3,ECallHostReadSetup@inst_ecall.zir:70,1.0,0.0,10
V3,ECallHostReadSetup@inst_ecall.zir:76,1.0,0.0,3
V3,ECallHostReadWords@inst_ecall.zir:171,1.0,0.0,5
V3,IllegalLoadOp@inst_mem.zir:40,3.0,0.0,10
V3,IllegalMulOp@inst_mul.zir:18,2.0,0.0,10
V3,IllegalStoreOp@inst_mem.zir:45,5.0,0.0,10
V3,IsRead@mem.zir:79,47.7,3.056868404829434,10
V3,IsRead@mem.zir:80,39.7,3.4976182372199136,10
V3,MachineECall@inst_ecall.zir:28,1.0,0.0,10
V3,MachineECall@inst_ecall.zir:29,1.0,0.0,10
V3,MachineECall@inst_ecall.zir:32,1.0,,1
V3,MemLoadInput@inst_mem.zir:8,7.1,1.286683937707919,10
V3,MemStoreInput@inst_mem.zir:18,6.2,0.9189365834726815,10
V3,MemoryWrite@mem.zir:100,106.1,2.5144029554194813,10
V3,MemoryWrite@mem.zir:99,110.9,1.791957340762081,10
V3,MiscInput@inst_misc.zir:7,27.3,1.888562063228706,10
V3,MulInput@inst_mul.zir:8,8.4,1.07496769977314,10
V3,OneHot@one_hot.zir:11,55.4,0.6992058987801011,10
V3,OneHot@one_hot.zir:9,55.4,0.6992058987801011,10
V3,OpLH@inst_mem.zir:98,1.0,0.0,10
V3,OpLHU@inst_mem.zir:123,1.0,0.0,10
V3,OpLW@inst_mem.zir:108,1.0,0.0,10
V3,OpLW@inst_mem.zir:109,1.0,0.0,10
V3,OpSH@inst_mem.zir:148,1.0,0.0,10
V3,OpSW@inst_mem.zir:160,1.0,0.0,10
V3,OpSW@inst_mem.zir:161,1.0,0.0,10
V3,PoseidonCheckOut@inst_p2.zir:265,1.0,0.0,10
V3,Sha0@inst_sha.zir:226,1.0,0.0,10
V3,VerifyOpcode@inst.zir:91,3.0,0.0,10
V3,VerifyOpcodeF3@inst.zir:96,21.0,0.0,10
V3,VerifyOpcodeF3@inst.zir:97,21.0,0.0,10
V3,VerifyOpcodeF3F7@inst.zir:102,22.0,0.0,10
V3,VerifyOpcodeF3F7@inst.zir:103,21.9,0.31622776601683755,10
V3,VerifyOpcodeF3F7@inst.zir:104,22.0,0.0,10
V4,AddrDecompose@u32.zir:67,60.5,2.505549396395485,10
V4,AddrDecomposeBits@u32.zir:87,34.1,2.0789954839350213,10
V4,ControlLoadRootAndNonce@inst_control.zir:23,1.0,0.0,10
V4,ControlMRET@inst_control.zir:89,1.0,0.0,10
V4,ControlMRET@inst_control.zir:91,1.0,0.0,3
V4,ControlMRET@inst_control.zir:92,1.0,0.0,4
V4,ControlUserECALL@inst_control.zir:75,1.0,0.0,10
V4,ControlUserECALL@inst_control.zir:77,1.0,0.0,5
V4,ControlUserECALL@inst_control.zir:78,1.0,0.0,6
V4,DecodeInst@inst.zir:29,26.8,1.6193277068654826,10
V4,DivInput@inst_div.zir:8,8.0,1.247219128924647,10
V4,ECall0@inst_ecall.zir:203,3.7,0.483045891539648,10
V4,ECallHostReadSetup@inst_ecall.zir:70,1.0,0.0,10
V4,ECallHostReadSetup@inst_ecall.zir:76,1.0,0.0,5
V4,ECallHostReadWords@inst_ecall.zir:171,1.0,0.0,2
