variant,seed,constraint_loc,v2_cell_count
V1,1234,AddrDecompose@u32.zir:67,41
V1,1234,AddrDecomposeBits@u32.zir:87,23
V1,1234,ControlLoadRootAndNonce@inst_control.zir:23,1
V1,1234,ControlMRET@inst_control.zir:89,1
V1,1234,ControlMRET@inst_control.zir:91,1
V1,1234,ControlMRET@inst_control.zir:92,1
V1,1234,ControlUserECALL@inst_control.zir:75,1
V1,1234,ControlUserECALL@inst_control.zir:77,1
V1,1234,ControlUserECALL@inst_control.zir:78,1
V1,1234,DecodeInst@inst.zir:29,27
V1,1234,DivInput@inst_div.zir:8,2
V1,1234,ECall0@inst_ecall.zir:203,4
V1,1234,ECallHostReadSetup@inst_ecall.zir:70,1
V1,1234,ECallHostReadSetup@inst_ecall.zir:76,1
V1,1234,IllegalLoadOp@inst_mem.zir:40,3
V1,1234,IllegalMulOp@inst_mul.zir:18,2
V1,1234,IllegalStoreOp@inst_mem.zir:45,5
V1,1234,IsRead@mem.zir:79,41
V1,1234,IsRead@mem.zir:80,36
V1,1234,MachineECall@inst_ecall.zir:28,1
V1,1234,MachineECall@inst_ecall.zir:29,1
V1,1234,MachineECall@inst_ecall.zir:32,1
V1,1234,MemLoadInput@inst_mem.zir:8,6
V1,1234,MemStoreInput@inst_mem.zir:18,3
V1,1234,MemoryWrite@mem.zir:100,80
V1,1234,MemoryWrite@mem.zir:99,84
V1,1234,MiscInput@inst_misc.zir:7,19
V1,1234,MulInput@inst_mul.zir:8,3
V1,1234,OneHot@one_hot.zir:11,42
V1,1234,OneHot@one_hot.zir:9,42
V1,1234,OpLH@inst_mem.zir:98,1
V1,1234,OpLHU@inst_mem.zir:123,1
V1,1234,OpLW@inst_mem.zir:108,1
V1,1234,OpLW@inst_mem.zir:109,1
V1,1234,OpSH@inst_mem.zir:148,1
V1,1234,OpSW@inst_mem.zir:160,1
V1,1234,OpSW@inst_mem.zir:161,1
V1,1234,PoseidonCheckOut@inst_p2.zir:265,1
V1,1234,Sha0@inst_sha.zir:226,1
V1,1234,VerifyOpcode@inst.zir:91,3
V1,1234,VerifyOpcodeF3@inst.zir:96,21
V1,1234,VerifyOpcodeF3@inst.zir:97,21
V1,1234,VerifyOpcodeF3F7@inst.zir:102,22
V1,1234,VerifyOpcodeF3F7@inst.zir:103,21
V1,1234,VerifyOpcodeF3F7@inst.zir:104,21
V1,1235,AddrDecompose@u32.zir:67,35
V1,1235,AddrDecomposeBits@u32.zir:87,21
V1,1235,ControlLoadRootAndNonce@inst_control.zir:23,1
V1,1235,ControlMRET@inst_control.zir:89,1
V1,1235,ControlMRET@inst_control.zir:91,1
V1,1235,ControlMRET@inst_control.zir:92,1
V1,1235,ControlUserECALL@inst_control.zir:75,1
V1,1235,ControlUserECALL@inst_control.zir:77,1
V1,1235,ControlUserECALL@inst_control.zir:78,1
V1,1235,DecodeInst@inst.zir:29,27
V1,1235,DivInput@inst_div.zir:8,1
V1,1235,ECall0@inst_ecall.zir:203,3
V1,1235,ECallHostReadSetup@inst_ecall.zir:70,1
V1,1235,ECallHostReadWords@inst_ecall.zir:171,1
V1,1235,IllegalLoadOp@inst_mem.zir:40,1
V1,1235,IllegalMulOp@inst_mul.zir:18,2
V1,1235,IllegalStoreOp@inst_mem.zir:45,5
V1,1235,IsRead@mem.zir:79,45
V1,1235,IsRead@mem.zir:80,38
V1,1235,MachineECall@inst_ecall.zir:28,1
V1,1235,MachineECall@inst_ecall.zir:29,1
V1,1235,MachineECall@inst_ecall.zir:32,1
V1,1235,MemLoadInput@inst_mem.zir:8,1
V1,1235,MemStoreInput@inst_mem.zir:18,1
V1,1235,MemoryWrite@mem.zir:100,81
V1,1235,MemoryWrite@mem.zir:99,87
V1,1235,MiscInput@inst_misc.zir:7,17
V1,1235,MulInput@inst_mul.zir:8,3
V1,1235,OneHot@one_hot.zir:11,38
V1,1235,OneHot@one_hot.zir:9,38
V1,1235,OpLH@inst_mem.zir:98,1
V1,1235,OpLHU@inst_mem.zir:123,1
V1,1235,OpLW@inst_mem.zir:108,1
V1,1235,OpLW@inst_mem.zir:109,1
V1,1235,OpSH@inst_mem.zir:148,1
V1,1235,OpSW@inst_mem.zir:160,1
V1,1235,OpSW@inst_mem.zir:161,1
V1,1235,PoseidonCheckOut@inst_p2.zir:265,1
V1,1235,VerifyOpcode@inst.zir:91,3
V1,1235,VerifyOpcodeF3@inst.zir:96,21
V1,1235,VerifyOpcodeF3@inst.zir:97,21
V1,1235,VerifyOpcodeF3F7@inst.zir:102,22
V1,1235,VerifyOpcodeF3F7@inst.zir:103,21
V1,1235,VerifyOpcodeF3F7@inst.zir:104,22
V1,1236,AddrDecompose@u32.zir:67,35
V1,1236,AddrDecomposeBits@u32.zir:87,22
V1,1236,ControlLoadRootAndNonce@inst_control.zir:23,1
V1,1236,ControlMRET@inst_control.zir:89,1
V1,1236,ControlUserECALL@inst_control.zir:75,1
V1,1236,ControlUserECALL@inst_control.zir:77,1
V1,1236,ControlUserECALL@inst_control.zir:78,1
V1,1236,DecodeInst@inst.zir:29,27
V1,1236,DivInput@inst_div.zir:8,3
V1,1236,ECall0@inst_ecall.zir:203,3
