seed,arm_id,pulls,discounted_pulls,mean_reward,posterior_alpha,posterior_beta,ts_extra_json,db_path
1234,COMP_OUT_MOD|core_arithmetic,121,,0.01652892561983471,3.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,COMP_OUT_MOD|core_mul,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,COMP_OUT_MOD|core_shr,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,COMP_OUT_MOD|post_ecall,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|core_arithmetic,137,,0.19708029197080293,28.0,111.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|core_memory_load,126,,0.16666666666666666,22.0,106.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|core_memory_store,120,,0.14166666666666666,18.0,104.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|core_mul,133,,0.18796992481203006,26.0,109.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|core_shr,136,,0.16176470588235295,23.0,115.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|kernel_other,130,,0.18461538461538463,25.0,107.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|post_ecall,121,,0.12396694214876033,16.0,107.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|pre_ecall,125,,0.144,19.0,108.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_TYPE_MOD|step0,280,,0.25,71.0,211.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_FULL|core_arithmetic,120,,0.075,10.0,112.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_FULL|core_memory_load,120,,0.016666666666666666,3.0,119.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_FULL|core_memory_store,120,,0.041666666666666664,6.0,116.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_FULL|core_mul,120,,0.025,4.0,118.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_FULL|core_shr,120,,0.025,4.0,118.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_FULL|kernel_other,120,,0.05,7.0,115.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_FULL|post_ecall,120,,0.025,4.0,118.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_SUR|core_arithmetic,120,,0.041666666666666664,6.0,116.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_SUR|core_memory_load,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_SUR|core_memory_store,120,,0.041666666666666664,6.0,116.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_SUR|core_mul,120,,0.016666666666666666,3.0,119.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_SUR|core_shr,120,,0.016666666666666666,3.0,119.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_SUR|kernel_other,120,,0.05,7.0,115.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,INSTR_WORD_MOD_SUR|post_ecall,120,,0.03333333333333333,5.0,117.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,LOAD_VAL_MOD|core_memory_load,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,LOAD_VAL_MOD|post_ecall,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|core_arithmetic,120,,0.075,10.0,112.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|core_branch,124,,0.14516129032258066,19.0,107.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|core_memory_load,120,,0.016666666666666666,3.0,119.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|core_memory_store,120,,0.016666666666666666,3.0,119.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|kernel_other,120,,0.075,10.0,112.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|last_step,121,,0.024793388429752067,4.0,119.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|post_ecall,120,,0.041666666666666664,6.0,116.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|pre_ecall,120,,0.11666666666666667,15.0,107.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,MEM_VAL_MOD|step0,121,,0.03305785123966942,5.0,118.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|core_arithmetic,122,,0.08196721311475409,11.0,113.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|core_memory_load,122,,0.1557377049180328,20.0,104.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|core_memory_store,120,,0.06666666666666667,9.0,113.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|core_mul,120,,0.025,4.0,118.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|core_shr,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|kernel_other,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|post_ecall,120,,0.08333333333333333,11.0,111.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,PRE_EXEC_REG_MOD|step0,121,,0.008264462809917356,2.0,121.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,STORE_OUT_MOD|core_memory_store,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,STORE_OUT_MOD|kernel_other,120,,0.008333333333333333,2.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1235,COMP_OUT_MOD|core_arithmetic,121,,0.01652892561983471,3.0,120.0,,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db
