seed,mode,selected_arm,pulls,db_path
1234,adaptive,INSTR_TYPE_MOD|core_arithmetic,16,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,INSTR_TYPE_MOD|core_memory_load,6,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,INSTR_TYPE_MOD|core_mul,13,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,INSTR_TYPE_MOD|core_shr,15,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,INSTR_TYPE_MOD|kernel_other,10,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,INSTR_TYPE_MOD|post_ecall,1,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,INSTR_TYPE_MOD|pre_ecall,5,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,INSTR_TYPE_MOD|step0,159,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,MEM_VAL_MOD|core_branch,4,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
1234,adaptive,PRE_EXEC_REG_MOD|core_arithmetic,2,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db
