variant,kind,kind_group,pulls,discoveries,discovery_rate_per_1k
V1,INSTR_TYPE_MOD,a4_only,7569,230,30.38710529792575
V1,INSTR_WORD_MOD_FULL,a4_only,7552,44,5.826271186440678
V1,INSTR_WORD_MOD_SUR,a4_only,7365,20,2.7155465037338766
V1,MEM_VAL_MOD,a4_only,7538,95,12.60281241708676
V1,COMP_OUT_MOD,shared,7448,4,0.5370569280343717
V1,LOAD_VAL_MOD,shared,7432,6,0.8073196986006459
V1,PRE_EXEC_REG_MOD,shared,7548,28,3.7095919448860624
V1,STORE_OUT_MOD,shared,7548,2,0.2649708532061473
V5,INSTR_TYPE_MOD,a4_only,13122,261,19.89026063100137
V5,INSTR_WORD_MOD_FULL,a4_only,8401,20,2.3806689679800024
V5,INSTR_WORD_MOD_SUR,a4_only,8400,13,1.5476190476190477
V5,MEM_VAL_MOD,a4_only,10840,134,12.361623616236162
V5,COMP_OUT_MOD,shared,4810,20,4.158004158004158
V5,LOAD_VAL_MOD,shared,2400,0,0.0
V5,PRE_EXEC_REG_MOD,shared,9627,16,1.661992313285551
V5,STORE_OUT_MOD,shared,2400,0,0.0
V6,COMP_OUT_MOD,shared,3840,4,1.0416666666666667
V6,LOAD_VAL_MOD,shared,756,0,0.0
V6,PRE_EXEC_REG_MOD,shared,7613,288,37.83002758439511
V6,STORE_OUT_MOD,shared,466,2,4.291845493562231
V6,BR_NEG_COND,v6_only,1453,0,0.0
V6,INSTR_WORD_MOD,v6_only,7509,202,26.901052070848316
V6,POST_EXEC_MEM_MOD,v6_only,7627,146,19.142519994755474
V6,POST_EXEC_PC_MOD,v6_only,7439,7,0.9409866917596451
V6,POST_EXEC_REG_MOD,v6_only,7833,181,23.107366270905146
V6,PRE_EXEC_MEM_MOD,v6_only,7717,236,30.58183231825839
V6,PRE_EXEC_PC_MOD,v6_only,7747,14,1.8071511552859172
