variant,selector,seed,db_path,local_context_final,local_coverage_v2_final,local_context_AUC,time_to_40,time_to_43,time_to_46,all_46_hit,compressed_global_context_final,crash_rate,no_effect_rate,allocation_entropy_by_kind,allocation_entropy_by_zone,novel_locs_vs_v1,novel_locs_names_vs_v1,n_mutations,novel_locs_union_vs_v1,partial
V0,uniform,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1a_uniform_seed1234_n6000/pos_iv_pos_7_u_b1a_uniform_seed1234_n6000.db,35,553.0,190752.5,,,,False,149,0.013833333333333333,0.0,2.9733177156230335,1.959231417221997,0,,6000,0,False
V0,uniform,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1a_uniform_seed1235_n6000/pos_iv_pos_7_u_b1a_uniform_seed1235_n6000.db,34,536.0,186005.0,,,,False,145,0.01,0.0,2.9671875858173884,1.9355167161315638,0,,6000,0,False
V0,uniform,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1b_uniform_seed1236_n6000/pos_iv_pos_7_u_b1b_uniform_seed1236_n6000.db,36,533.0,183606.0,,,,False,135,0.013333333333333334,0.0,2.975052404549712,1.9312580220196605,0,,6000,0,False
V0,uniform,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1b_uniform_seed1237_n6000/pos_iv_pos_7_u_b1b_uniform_seed1237_n6000.db,34,531.0,186179.0,,,,False,156,0.012166666666666666,0.0,2.968953311939541,1.9510153862447992,0,,6000,0,False
V0,uniform,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1b_uniform_seed1238_n6000/pos_iv_pos_7_u_b1b_uniform_seed1238_n6000.db,36,532.0,195755.0,,,,False,138,0.012333333333333333,0.0,2.9632085532483363,1.9483350657101268,0,,6000,0,False
V0,uniform,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1b_uniform_seed1239_n6000/pos_iv_pos_7_u_b1b_uniform_seed1239_n6000.db,38,551.0,205844.0,,,,False,134,0.014333333333333333,0.0,2.9750329538522995,1.9188998517281453,0,,6000,0,False
V0,uniform,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1c_uniform_seed1240_n6000/pos_iv_pos_7_u_b1c_uniform_seed1240_n6000.db,35,532.0,188537.0,,,,False,144,0.0125,0.0,2.9741400362302968,1.9399728087711638,0,,6000,0,False
V0,uniform,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b1c_uniform_seed1241_n6000/pos_iv_pos_7_u_b1c_uniform_seed1241_n6000.db,33,514.0,178012.0,,,,False,136,0.015833333333333335,0.0,2.972864343301925,1.9493619345900168,0,,6000,0,False
V0,uniform,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b2_uniform_seed1242_n6000/pos_iv_pos_7_u_b2_uniform_seed1242_n6000.db,33,509.0,183642.5,,,,False,130,0.0155,0.0,2.970737977985387,1.9363499330553617,0,,6000,0,False
V0,uniform,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_u_b2_uniform_seed1243_n6000/pos_iv_pos_7_u_b2_uniform_seed1243_n6000.db,36,526.0,192528.0,,,,False,140,0.0135,0.0,2.9681788937728313,1.9464801627878694,0,,6000,0,False
V1,zoned,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,45,593.0,245159.0,1245.0,2530.0,,False,147,0.012,0.0,2.999197336703282,2.222207974345173,0,,6000,0,False
V1,zoned,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,44,574.0,220307.5,4520.0,4951.0,,False,155,0.010666666666666666,0.0,2.9978989260853375,2.2086512208178295,0,,6000,0,False
V1,zoned,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/goracle/pos_iv_pos_7_ta_b1_zoned_seed1236_n6000.db,43,555.0,233922.5,1559.0,3861.0,,False,138,0.011833333333333333,0.0,2.9985509714322527,2.210156867186339,0,,6000,0,False
V1,zoned,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/zone/pos_iv_pos_7_ta_b1_zoned_seed1237_n6000.db,42,569.0,222953.0,3785.0,,,False,155,0.01,0.0,2.998940328873794,2.194287442898577,0,,6000,0,False
V1,zoned,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000.db,43,533.0,230740.5,2204.0,4520.0,,False,137,0.011166666666666667,0.0,2.9993283618825495,2.203602647920019,0,,6000,0,False
V1,zoned,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000.db,44,562.0,234140.0,2555.0,4355.0,,False,144,0.011333333333333334,0.0,2.999512930915096,2.1923853794462165,0,,6000,0,False
V1,zoned,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000.db,43,546.0,225963.5,2979.0,5978.0,,False,144,0.009666666666666667,0.0,2.998974056132658,2.2052818209933944,0,,6000,0,False
V1,zoned,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000.db,42,565.0,227244.0,4666.0,,,False,145,0.0115,0.0,2.9993874477776283,2.184086987951391,0,,6000,0,False
V1,zoned,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000.db,42,568.0,217150.0,4556.0,,,False,137,0.011666666666666667,0.0,2.9994434655771554,2.213040645000644,0,,6000,0,False
V1,zoned,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000.db,41,591.0,223843.0,4002.0,,,False,140,0.010166666666666666,0.0,2.9996237056345354,2.1843613600851697,0,,6000,0,False
