variant,seed,mutation_id_bucket,mode,count
V5,1234,"[0,200)",cold,144
V5,1234,"[0,200)",floor,47
V5,1234,"[0,200)",singleton,8
V5,1234,"[1000,2000)",adaptive,40
V5,1234,"[1000,2000)",floor,960
V5,1234,"[200,1000)",adaptive,32
V5,1234,"[200,1000)",floor,768
V5,1234,"[2000,4000)",adaptive,80
V5,1234,"[2000,4000)",floor,1920
V5,1234,"[4000,6000)",adaptive,80
V5,1234,"[4000,6000)",floor,1920
V5,1235,"[0,200)",cold,144
V5,1235,"[0,200)",floor,47
V5,1235,"[0,200)",singleton,8
V5,1235,"[1000,2000)",adaptive,40
V5,1235,"[1000,2000)",floor,960
V5,1235,"[200,1000)",adaptive,32
V5,1235,"[200,1000)",floor,768
V5,1235,"[2000,4000)",adaptive,80
V5,1235,"[2000,4000)",floor,1920
V5,1235,"[4000,6000)",adaptive,80
V5,1235,"[4000,6000)",floor,1920
V5,1236,"[0,200)",cold,144
V5,1236,"[0,200)",floor,47
V5,1236,"[0,200)",singleton,8
V5,1236,"[1000,2000)",adaptive,40
V5,1236,"[1000,2000)",floor,960
V5,1236,"[200,1000)",adaptive,32
V5,1236,"[200,1000)",floor,768
V5,1236,"[2000,4000)",adaptive,80
V5,1236,"[2000,4000)",floor,1920
V5,1236,"[4000,6000)",adaptive,80
V5,1236,"[4000,6000)",floor,1920
V5,1237,"[0,200)",cold,144
V5,1237,"[0,200)",floor,47
V5,1237,"[0,200)",singleton,8
V5,1237,"[1000,2000)",adaptive,40
V5,1237,"[1000,2000)",floor,960
V5,1237,"[200,1000)",adaptive,32
V5,1237,"[200,1000)",floor,768
V5,1237,"[2000,4000)",adaptive,80
V5,1237,"[2000,4000)",floor,1920
V5,1237,"[4000,6000)",adaptive,80
V5,1237,"[4000,6000)",floor,1920
V5,1238,"[0,200)",cold,144
V5,1238,"[0,200)",floor,47
V5,1238,"[0,200)",singleton,8
V5,1238,"[1000,2000)",adaptive,40
V5,1238,"[1000,2000)",floor,960
V5,1238,"[200,1000)",adaptive,32
V5,1238,"[200,1000)",floor,768
V5,1238,"[2000,4000)",adaptive,80
V5,1238,"[2000,4000)",floor,1920
V5,1238,"[4000,6000)",adaptive,80
V5,1238,"[4000,6000)",floor,1920
V5,1239,"[0,200)",cold,144
V5,1239,"[0,200)",floor,47
V5,1239,"[0,200)",singleton,8
V5,1239,"[1000,2000)",adaptive,40
V5,1239,"[1000,2000)",floor,960
V5,1239,"[200,1000)",adaptive,32
V5,1239,"[200,1000)",floor,768
