variant,seed,db_path,local_context_final,compressed_global_context_final,total_mutations,total_failures,unique_global_failures,time_to_40,time_to_43,time_to_46,auc_normalized,floor_mode_share_post_cs,adaptive_mode_share_post_cs,cold_decisions,mean_elapsed_ms,proof_generated_count,proof_verify_failed_count,floor_schedule_type,floor_schedule_config
V5,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db,46,183,6000,18371,15062,1260,1612,2737,0.9245688405797101,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db,46,190,6000,18017,15032,1026,1585,3200,0.9396739130434782,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000.db,46,188,6000,18784,15347,397,1237,3099,0.9528188405797101,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000.db,48,185,6000,18202,15126,285,460,2185,0.9816702898550724,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000.db,46,185,6000,18291,14979,405,837,4885,0.952195652173913,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000.db,47,197,6000,18682,15083,479,561,685,0.9902554347826087,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db,46,191,6000,19730,15443,479,637,1213,0.9711884057971014,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db,46,193,6000,18555,14748,637,912,1137,0.9579492753623189,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db,46,190,6000,18916,15176,713,1319,4978,0.9378333333333333,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
V5,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db,47,179,6000,18679,15013,605,1011,1486,0.977161231884058,0.96,0.04,144.0,,,,constant,"{""value"": 0.55}"
