corpus,variant,seed,db_path,campaign_id,cgc_row_count,global_failures_row_count,address_region_distribution,memory_byte_addr_min,memory_byte_addr_max,memory_byte_addr_mean,memory_parse_none_count,memory_ctx_json_keysets,ctx_json_malformed_count,ctx_json_all_well_formed
V1,V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,1,147,12063,"{""user"": 36, ""zero_page"": 33}",0,4563402536,2272955560.93,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,1,155,12411,"{""user"": 39, ""zero_page"": 31}",0,4563402732,2244257190.16,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/goracle/pos_iv_pos_7_ta_b1_zoned_seed1236_n6000.db,1,138,12484,"{""user"": 37, ""zero_page"": 31}",0,4563402632,2205678937.97,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/zone/pos_iv_pos_7_ta_b1_zoned_seed1237_n6000.db,1,155,12413,"{""user"": 38, ""zero_page"": 30}",0,4563402744,2224111638.55,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000.db,1,137,12351,"{""user"": 36, ""zero_page"": 31}",0,4563402736,2247749050.92,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000.db,1,144,12401,"{""user"": 37, ""zero_page"": 33}",0,4563402704,2258644703.05,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000.db,1,144,11995,"{""user"": 38, ""zero_page"": 32}",0,4563402732,2236626654.83,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000.db,1,145,12425,"{""user"": 38, ""zero_page"": 26}",0,4563402716,2195849653.86,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000.db,1,137,12388,"{""user"": 34, ""zero_page"": 28}",0,4563402652,2280217796.66,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V1,V1,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000.db,1,140,11995,"{""user"": 38, ""zero_page"": 28}",0,4563402696,2238742391.18,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db,1,183,15062,"{""user"": 52, ""zero_page"": 37}",0,4563402664,2444175688.41,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db,1,190,15032,"{""user"": 47, ""zero_page"": 45}",0,4563402724,2469179424.64,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000.db,1,188,15347,"{""user"": 51, ""zero_page"": 46}",0,6615297972,2422333126.73,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000.db,1,185,15126,"{""user"": 52, ""zero_page"": 40}",0,6305999436,2451785768.1,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000.db,1,185,14979,"{""user"": 46, ""zero_page"": 39}",0,4563402744,2479750118.82,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000.db,1,197,15083,"{""user"": 52, ""zero_page"": 46}",0,4563402708,2464619470.47,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db,1,191,15443,"{""user"": 48, ""zero_page"": 42}",0,4563402708,2429236286.41,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db,1,193,14748,"{""user"": 52, ""zero_page"": 40}",0,4563402724,2463076375.73,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db,1,190,15176,"{""user"": 49, ""zero_page"": 42}",0,4563402740,2439477385.81,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
V5,V5,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db,1,179,15013,"{""user"": 50, ""zero_page"": 43}",0,4563402768,2421216135.98,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
D1.A-decayexp,D1.A-decayexp,1234,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1234_n6000.db,1,192,17279,"{""user"": 52, ""zero_page"": 43}",0,4563402720,2270486805.8,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
D1.A-decayexp,D1.A-decayexp,1235,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/opulous_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1235_n6000.db,1,197,17396,"{""user"": 53, ""zero_page"": 52}",0,6297610820,2448369495.11,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
D1.A-decayexp,D1.A-decayexp,1236,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/algofi_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1236_n6000.db,1,185,17330,"{""user"": 53, ""zero_page"": 47}",0,4563402640,2380325384.71,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
D1.A-decayexp,D1.A-decayexp,1237,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/goracle_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1237_n6000.db,1,173,16783,"{""user"": 47, ""zero_page"": 42}",0,4563402748,2417176791.51,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
D1.A-decayexp,D1.A-decayexp,1238,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayexp_seed1238_n6000.db,1,183,17517,"{""user"": 49, ""zero_page"": 46}",0,4563402716,2439227585.77,0,"address_bucket,address_region,cycle_phase,family,txn_role",0,True
