corpus,variant,seed,db_path,prod_buggy_memory_keys,prod_corrected_memory_keys,delta_memory_keys,delta_memory_pct,prod_buggy_lookup_keys,prod_corrected_lookup_keys,prod_buggy_total,prod_corrected_total,delta_total,prod_buggy_memory_regions_json,prod_corrected_memory_regions_json
V1,V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,69,72,3,4.35,78,78,147,150,3,"{""user"": 36, ""zero_page"": 33}","{""ecall_dispatch"": 2, ""invalid"": 2, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""user"": 30, ""user_bigint"": 1, ""user_regs"": 3, ""zero_page"": 27}"
V1,V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,70,70,0,0.0,85,85,155,155,0,"{""user"": 39, ""zero_page"": 31}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""user"": 28, ""user_bigint"": 1, ""user_regs"": 3, ""zero_page"": 25}"
V1,V1,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/goracle/pos_iv_pos_7_ta_b1_zoned_seed1236_n6000.db,68,70,2,2.94,70,70,138,140,2,"{""user"": 37, ""zero_page"": 31}","{""ecall_dispatch"": 2, ""invalid"": 2, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""user"": 29, ""user_bigint"": 2, ""user_regs"": 3, ""zero_page"": 25}"
V1,V1,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/zone/pos_iv_pos_7_ta_b1_zoned_seed1237_n6000.db,68,71,3,4.41,87,87,155,158,3,"{""user"": 38, ""zero_page"": 30}","{""ecall_dispatch"": 2, ""invalid"": 3, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""trap_dispatch_and_beyond"": 1, ""user"": 30, ""user_bigint"": 1, ""user_regs"": 3, ""zero_page"": 24}"
V1,V1,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000.db,67,69,2,2.99,70,70,137,139,2,"{""user"": 36, ""zero_page"": 31}","{""ecall_dispatch"": 1, ""invalid"": 3, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""user"": 27, ""user_bigint"": 2, ""user_regs"": 3, ""zero_page"": 26}"
V1,V1,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000.db,70,71,1,1.43,74,74,144,145,1,"{""user"": 37, ""zero_page"": 33}","{""ecall_dispatch"": 2, ""invalid"": 2, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""trap_dispatch_and_beyond"": 1, ""user"": 31, ""user_bigint"": 1, ""user_regs"": 3, ""zero_page"": 24}"
V1,V1,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000.db,70,70,0,0.0,74,74,144,144,0,"{""user"": 38, ""zero_page"": 32}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""trap_dispatch_and_beyond"": 1, ""user"": 29, ""user_bigint"": 1, ""user_regs"": 3, ""zero_page"": 23}"
V1,V1,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000.db,64,66,2,3.12,81,81,145,147,2,"{""user"": 38, ""zero_page"": 26}","{""ecall_dispatch"": 1, ""invalid"": 3, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""user"": 27, ""user_bigint"": 2, ""user_regs"": 3, ""zero_page"": 23}"
V1,V1,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000.db,62,67,5,8.06,75,75,137,142,5,"{""user"": 34, ""zero_page"": 28}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""trap_dispatch_and_beyond"": 1, ""user"": 25, ""user_bigint"": 2, ""user_regs"": 3, ""zero_page"": 23}"
V1,V1,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000.db,66,71,5,7.58,74,74,140,145,5,"{""user"": 38, ""zero_page"": 28}","{""ecall_dispatch"": 3, ""invalid"": 2, ""kernel"": 2, ""machine_regs"": 2, ""machine_special"": 3, ""user"": 31, ""user_bigint"": 1, ""user_regs"": 3, ""zero_page"": 24}"
V5,V5,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db,89,117,28,31.46,94,94,183,211,28,"{""user"": 52, ""zero_page"": 37}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""user"": 50, ""user_bigint"": 1, ""user_regs"": 7, ""zero_page"": 35}"
V5,V5,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db,92,122,30,32.61,98,98,190,220,30,"{""user"": 47, ""zero_page"": 45}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""user"": 43, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 46}"
V5,V5,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000.db,97,128,31,31.96,91,91,188,219,31,"{""user"": 51, ""zero_page"": 46}","{""ecall_dispatch"": 4, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 46, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 48}"
V5,V5,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000.db,92,122,30,32.61,93,93,185,215,30,"{""user"": 52, ""zero_page"": 40}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 49, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 39}"
V5,V5,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000.db,85,116,31,36.47,100,100,185,216,31,"{""user"": 46, ""zero_page"": 39}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 44, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 38}"
V5,V5,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000.db,98,128,30,30.61,99,99,197,227,30,"{""user"": 52, ""zero_page"": 46}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 4, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 51, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 45}"
V5,V5,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db,90,122,32,35.56,101,101,191,223,32,"{""user"": 48, ""zero_page"": 42}","{""ecall_dispatch"": 4, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 2, ""user"": 48, ""user_bigint"": 1, ""user_regs"": 7, ""zero_page"": 40}"
