corpus_variant,seed,cgc_variant,db_path,cgc_final,memory_final,lookup_final,auc_normalized,time_to_10,time_to_50,time_to_90
V5,1234,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db,118,24,94,0.7757450564971752,53,782,4254
V5,1234,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db,108,14,94,0.7726396604938272,41,765,4617
V5,1234,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db,211,117,94,0.7450418641390205,35,807,4479
V5,1234,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/polynize/pos_iv_pos_7_ts_b1_cTS_semantic_v2_seed1234_n6000.db,103,9,94,0.7620485436893204,55,807,4617
V5,1235,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db,122,24,98,0.7441700819672131,27,840,4557
V5,1235,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db,112,14,98,0.733857886904762,27,919,4574
V5,1235,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db,220,122,98,0.7266056818181819,27,926,4937
V5,1235,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/polynize/pos_iv_pos_7_ts_b2_cTS_semantic_v2_seed1235_n6000.db,107,9,98,0.721904984423676,27,926,4574
V5,1236,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000.db,116,25,91,0.7660409482758621,12,819,4064
V5,1236,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000.db,106,15,91,0.7582948113207547,11,857,4064
V5,1236,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000.db,219,128,91,0.7545251141552511,20,788,4226
V5,1236,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000/pos_iv_pos_7_ts_b3_cTS_semantic_v2_seed1236_n6000.db,101,10,91,0.7473052805280528,12,858,4064
V5,1237,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000.db,118,25,93,0.7465543785310734,12,855,4123
V5,1237,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000.db,108,15,93,0.7358541666666667,12,956,4319
V5,1237,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000.db,215,122,93,0.7383131782945737,12,831,4123
V5,1237,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000/pos_iv_pos_7_ts_b4_cTS_semantic_v2_seed1237_n6000.db,103,10,93,0.7235550161812297,13,958,4319
V5,1238,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000.db,125,25,100,0.7775466666666667,12,757,3565
V5,1238,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000.db,115,15,100,0.7672289855072464,12,757,3574
V5,1238,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000.db,216,116,100,0.7580698302469135,20,754,3998
V5,1238,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000/pos_iv_pos_7_ts_b5_cTS_semantic_v2_seed1238_n6000.db,110,10,100,0.7569068181818182,12,823,3574
V5,1239,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000.db,124,25,99,0.7791350806451612,13,758,3658
V5,1239,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000.db,114,15,99,0.7759320175438597,13,812,3658
