corpus,variant,seed,signal_name,n_mutations,fire_count,fire_rate_full,fire_rate_post_local,median_value
V1,V1,1234,f_new_flag,6000,10,0.001667,0.0,
V1,V1,1234,recent_marginal_discovery_rate,6000,2549,0.424833,0.113,0.04
V1,V1,1234,singleton_failure_flag,6000,1169,0.194833,0.202667,
V1,V1,1234,mutation_substrategy_uniqueness,6000,2063,0.343833,0.338,
V1,V1,1234,d_loc_le_2_flag,6000,4558,0.759667,0.765667,
V1,V1,1235,f_new_flag,6000,10,0.001667,0.000333,
V1,V1,1235,recent_marginal_discovery_rate,6000,2576,0.429333,0.118,0.04
V1,V1,1235,singleton_failure_flag,6000,1226,0.204333,0.204333,
V1,V1,1235,mutation_substrategy_uniqueness,6000,2105,0.350833,0.337,
V1,V1,1235,d_loc_le_2_flag,6000,4586,0.764333,0.763667,
V1,V1,1236,f_new_flag,6000,11,0.001833,0.000333,
V1,V1,1236,recent_marginal_discovery_rate,6000,2238,0.373,0.087667,0.04
V1,V1,1236,singleton_failure_flag,6000,1179,0.1965,0.19,
V1,V1,1236,mutation_substrategy_uniqueness,6000,2117,0.352833,0.346667,
V1,V1,1236,d_loc_le_2_flag,6000,4597,0.766167,0.763333,
V1,V1,1237,f_new_flag,6000,10,0.001667,0.0,
V1,V1,1237,recent_marginal_discovery_rate,6000,2442,0.407,0.155333,0.04
V1,V1,1237,singleton_failure_flag,6000,1221,0.2035,0.210333,
V1,V1,1237,mutation_substrategy_uniqueness,6000,2021,0.336833,0.327333,
V1,V1,1237,d_loc_le_2_flag,6000,4538,0.756333,0.755333,
V1,V1,1238,f_new_flag,6000,11,0.001833,0.0,
V1,V1,1238,recent_marginal_discovery_rate,6000,1905,0.3175,0.091667,0.03
V1,V1,1238,singleton_failure_flag,6000,1241,0.206833,0.206333,
V1,V1,1238,mutation_substrategy_uniqueness,6000,2054,0.342333,0.328667,
V1,V1,1238,d_loc_le_2_flag,6000,4536,0.756,0.761333,
V1,V1,1239,f_new_flag,6000,11,0.001833,0.000333,
V1,V1,1239,recent_marginal_discovery_rate,6000,2442,0.407,0.088333,0.03
V1,V1,1239,singleton_failure_flag,6000,1225,0.204167,0.215,
V1,V1,1239,mutation_substrategy_uniqueness,6000,2094,0.349,0.328,
V1,V1,1239,d_loc_le_2_flag,6000,4547,0.757833,0.762333,
V1,V1,1240,f_new_flag,6000,10,0.001667,0.0,
V1,V1,1240,recent_marginal_discovery_rate,6000,2174,0.362333,0.088333,0.03
V1,V1,1240,singleton_failure_flag,6000,1259,0.209833,0.208667,
V1,V1,1240,mutation_substrategy_uniqueness,6000,2051,0.341833,0.339667,
