corpus,variant,seed,signal_name,channel_name,pearson_r,n_pulls
V1,V1,1234,f_new_flag,discovery_binary_reward,0.0,3000
V1,V1,1234,recent_marginal_discovery_rate,discovery_binary_reward,0.049664,3000
V1,V1,1234,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V1,V1,1234,singleton_failure_flag,discovery_binary_reward,-0.054896,3000
V1,V1,1234,singleton_failure_flag,f_new_flag,0.0,3000
V1,V1,1234,mutation_substrategy_uniqueness,discovery_binary_reward,-0.038962,3000
V1,V1,1234,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V1,V1,1234,d_loc_le_2_flag,discovery_binary_reward,-0.211292,3000
V1,V1,1234,d_loc_le_2_flag,f_new_flag,0.0,3000
V1,V1,1235,f_new_flag,discovery_binary_reward,0.116448,3000
V1,V1,1235,recent_marginal_discovery_rate,discovery_binary_reward,0.077664,3000
V1,V1,1235,recent_marginal_discovery_rate,f_new_flag,-0.006679,3000
V1,V1,1235,singleton_failure_flag,discovery_binary_reward,-0.074065,3000
V1,V1,1235,singleton_failure_flag,f_new_flag,-0.009254,3000
V1,V1,1235,mutation_substrategy_uniqueness,discovery_binary_reward,-0.038077,3000
V1,V1,1235,mutation_substrategy_uniqueness,f_new_flag,-0.013019,3000
V1,V1,1235,d_loc_le_2_flag,discovery_binary_reward,-0.220364,3000
V1,V1,1235,d_loc_le_2_flag,f_new_flag,-0.032825,3000
V1,V1,1236,f_new_flag,discovery_binary_reward,0.119906,3000
V1,V1,1236,recent_marginal_discovery_rate,discovery_binary_reward,0.031982,3000
V1,V1,1236,recent_marginal_discovery_rate,f_new_flag,-0.00566,3000
V1,V1,1236,singleton_failure_flag,discovery_binary_reward,-0.073758,3000
V1,V1,1236,singleton_failure_flag,f_new_flag,-0.008844,3000
V1,V1,1236,mutation_substrategy_uniqueness,discovery_binary_reward,-0.049757,3000
V1,V1,1236,mutation_substrategy_uniqueness,f_new_flag,-0.013301,3000
V1,V1,1236,d_loc_le_2_flag,discovery_binary_reward,-0.210273,3000
V1,V1,1236,d_loc_le_2_flag,f_new_flag,-0.032794,3000
V1,V1,1237,f_new_flag,discovery_binary_reward,0.0,3000
V1,V1,1237,recent_marginal_discovery_rate,discovery_binary_reward,0.050164,3000
V1,V1,1237,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V1,V1,1237,singleton_failure_flag,discovery_binary_reward,-0.054227,3000
V1,V1,1237,singleton_failure_flag,f_new_flag,0.0,3000
V1,V1,1237,mutation_substrategy_uniqueness,discovery_binary_reward,-0.03043,3000
V1,V1,1237,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V1,V1,1237,d_loc_le_2_flag,discovery_binary_reward,-0.206633,3000
V1,V1,1237,d_loc_le_2_flag,f_new_flag,0.0,3000
V1,V1,1238,f_new_flag,discovery_binary_reward,0.0,3000
V1,V1,1238,recent_marginal_discovery_rate,discovery_binary_reward,0.065682,3000
V1,V1,1238,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V1,V1,1238,singleton_failure_flag,discovery_binary_reward,-0.073353,3000
V1,V1,1238,singleton_failure_flag,f_new_flag,0.0,3000
V1,V1,1238,mutation_substrategy_uniqueness,discovery_binary_reward,-0.014134,3000
V1,V1,1238,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V1,V1,1238,d_loc_le_2_flag,discovery_binary_reward,-0.213901,3000
V1,V1,1238,d_loc_le_2_flag,f_new_flag,0.0,3000
V1,V1,1239,f_new_flag,discovery_binary_reward,0.119906,3000
V1,V1,1239,recent_marginal_discovery_rate,discovery_binary_reward,0.055191,3000
V1,V1,1239,recent_marginal_discovery_rate,f_new_flag,-0.005684,3000
V1,V1,1239,singleton_failure_flag,discovery_binary_reward,-0.063345,3000
V1,V1,1239,singleton_failure_flag,f_new_flag,-0.009556,3000
V1,V1,1239,mutation_substrategy_uniqueness,discovery_binary_reward,-0.058693,3000
