corpus,variant,seed,cat_a_pro_s5_verifier_accepted_invalid_count,cat_a_pro_s5_co_failure_graph_degree_p95,cat_a_pro_s5_singleton_failure_rate,cat_a_pro_s5_d_loc_p95,cat_a_pro_s8_unique_locs_with_d_loc_le_2,cat_a_pro_s8_unique_locs_with_d_glob_le_1,cat_b_pro_s5_proof_generated_zero_residue_rejected_rate,cat_b_pro_b_wall_clock_per_normalized_discovery
V1,V1,1234,0,30.799999999999997,0.19483333333333333,5,26,29,,
V1,V1,1235,0,29.85,0.20433333333333334,5,23,32,,
V1,V1,1236,0,27.799999999999997,0.1965,5,25,30,,
V1,V1,1237,0,26.0,0.2035,5,26,30,,
V1,V1,1238,0,27.9,0.20683333333333334,5,25,28,,
V1,V1,1239,0,27.0,0.20416666666666666,5,24,32,,
V1,V1,1240,0,27.9,0.20983333333333334,5,26,29,,
V1,V1,1241,0,25.949999999999996,0.194,5,27,31,,
V1,V1,1242,0,25.949999999999996,0.19766666666666666,5,26,30,,
V1,V1,1243,0,26.0,0.20716666666666667,5,25,30,,
V5,V5,1234,0,31.0,0.166,6,27,33,,
V5,V5,1235,0,30.75,0.1735,6,27,34,,
V5,V5,1236,0,31.0,0.1685,6,28,33,,
V5,V5,1237,0,32.949999999999996,0.16633333333333333,6,27,35,,
V5,V5,1238,0,31.0,0.16033333333333333,6,28,32,,
V5,V5,1239,0,31.0,0.17116666666666666,6,28,34,,
V5,V5,1240,0,32.75,0.16366666666666665,6,29,33,,
V5,V5,1241,0,32.0,0.16983333333333334,6,31,35,,
V5,V5,1242,0,31.0,0.1675,6,29,34,,
V5,V5,1243,0,31.0,0.1745,6,28,33,,
D1A,V5_decayexp,1234,0,30.0,0.12633333333333333,7,32,34,0.13783333333333334,63.360644927536235
D1A,V5_decayexp,1235,0,31.0,0.1335,7,29,33,0.127,63.334456521739135
D1A,V5_decayexp,1236,0,31.0,0.13366666666666666,7,28,34,0.1175,70.84757246376812
D1A,V5_decayexp,1237,0,32.0,0.12966666666666668,7,28,33,0.13416666666666666,70.82005072463768
D1A,V5_decayexp,1238,0,31.0,0.12316666666666666,7,32,34,0.1215,61.56721631205674
D1A,V5_decayepoch,1234,0,31.0,0.13116666666666665,6,28,34,0.11983333333333333,63.26706159420289
D1A,V5_decayepoch,1235,0,30.0,0.1365,6,31,33,0.11616666666666667,62.07259219858155
D1A,V5_decayepoch,1236,0,31.0,0.13383333333333333,6,34,34,0.12083333333333333,69.47600709219859
D1A,V5_decayepoch,1237,0,31.0,0.13533333333333333,6,27,33,0.1245,70.96920652173914
D1A,V5_decayepoch,1238,0,31.0,0.13516666666666666,6,28,32,0.11783333333333333,62.78826086956522
