corpus,variant,seed,signal_name,fire_rate_full,fire_rate_post_local,passes_5pct_gate
V1,V1,1234,f_new_flag,0.001667,0.0,False
V1,V1,1234,recent_marginal_discovery_rate,0.424833,0.113,True
V1,V1,1234,singleton_failure_flag,0.194833,0.202667,True
V1,V1,1234,mutation_substrategy_uniqueness,0.343833,0.338,True
V1,V1,1234,d_loc_le_2_flag,0.759667,0.765667,True
V1,V1,1235,f_new_flag,0.001667,0.000333,False
V1,V1,1235,recent_marginal_discovery_rate,0.429333,0.118,True
V1,V1,1235,singleton_failure_flag,0.204333,0.204333,True
V1,V1,1235,mutation_substrategy_uniqueness,0.350833,0.337,True
V1,V1,1235,d_loc_le_2_flag,0.764333,0.763667,True
V1,V1,1236,f_new_flag,0.001833,0.000333,False
V1,V1,1236,recent_marginal_discovery_rate,0.373,0.087667,True
V1,V1,1236,singleton_failure_flag,0.1965,0.19,True
V1,V1,1236,mutation_substrategy_uniqueness,0.352833,0.346667,True
V1,V1,1236,d_loc_le_2_flag,0.766167,0.763333,True
V1,V1,1237,f_new_flag,0.001667,0.0,False
V1,V1,1237,recent_marginal_discovery_rate,0.407,0.155333,True
V1,V1,1237,singleton_failure_flag,0.2035,0.210333,True
V1,V1,1237,mutation_substrategy_uniqueness,0.336833,0.327333,True
V1,V1,1237,d_loc_le_2_flag,0.756333,0.755333,True
V1,V1,1238,f_new_flag,0.001833,0.0,False
V1,V1,1238,recent_marginal_discovery_rate,0.3175,0.091667,True
V1,V1,1238,singleton_failure_flag,0.206833,0.206333,True
V1,V1,1238,mutation_substrategy_uniqueness,0.342333,0.328667,True
V1,V1,1238,d_loc_le_2_flag,0.756,0.761333,True
V1,V1,1239,f_new_flag,0.001833,0.000333,False
V1,V1,1239,recent_marginal_discovery_rate,0.407,0.088333,True
V1,V1,1239,singleton_failure_flag,0.204167,0.215,True
V1,V1,1239,mutation_substrategy_uniqueness,0.349,0.328,True
V1,V1,1239,d_loc_le_2_flag,0.757833,0.762333,True
V1,V1,1240,f_new_flag,0.001667,0.0,False
V1,V1,1240,recent_marginal_discovery_rate,0.362333,0.088333,True
V1,V1,1240,singleton_failure_flag,0.209833,0.208667,True
V1,V1,1240,mutation_substrategy_uniqueness,0.341833,0.339667,True
V1,V1,1240,d_loc_le_2_flag,0.759833,0.761,True
V1,V1,1241,f_new_flag,0.001667,0.0,False
V1,V1,1241,recent_marginal_discovery_rate,0.366833,0.11,True
V1,V1,1241,singleton_failure_flag,0.194,0.194,True
V1,V1,1241,mutation_substrategy_uniqueness,0.3485,0.336667,True
V1,V1,1241,d_loc_le_2_flag,0.761167,0.76,True
