corpus,variant,seed,threshold_pct,threshold_value,channel_name,pearson_r,note
V1,V1,1234,25,0.02,discovery_binary_reward,0.070083,
V1,V1,1234,25,0.02,f_new_flag,0.0,zero_variance
V1,V1,1234,50,0.02,discovery_binary_reward,0.070083,
V1,V1,1234,50,0.02,f_new_flag,0.0,zero_variance
V1,V1,1234,75,0.03,discovery_binary_reward,0.07569,
V1,V1,1234,75,0.03,f_new_flag,0.0,zero_variance
V1,V1,1235,25,0.01,discovery_binary_reward,0.052946,
V1,V1,1235,25,0.01,f_new_flag,0.006165,
V1,V1,1235,50,0.02,discovery_binary_reward,0.055869,
V1,V1,1235,50,0.02,f_new_flag,-0.028852,
V1,V1,1235,75,0.03,discovery_binary_reward,0.093005,
V1,V1,1235,75,0.03,f_new_flag,-0.015412,
V1,V1,1236,25,0.01,discovery_binary_reward,0.040263,
V1,V1,1236,25,0.01,f_new_flag,0.004828,
V1,V1,1236,50,0.02,discovery_binary_reward,0.087742,
V1,V1,1236,50,0.02,f_new_flag,0.012806,
V1,V1,1236,75,0.03,discovery_binary_reward,0.080913,
V1,V1,1236,75,0.03,f_new_flag,0.022302,
V1,V1,1237,25,0.01,discovery_binary_reward,0.043003,
V1,V1,1237,25,0.01,f_new_flag,0.0,zero_variance
V1,V1,1237,50,0.02,discovery_binary_reward,0.083001,
V1,V1,1237,50,0.02,f_new_flag,0.0,zero_variance
V1,V1,1237,75,0.03,discovery_binary_reward,0.06138,
V1,V1,1237,75,0.03,f_new_flag,0.0,zero_variance
V1,V1,1238,25,0.01,discovery_binary_reward,0.042406,
V1,V1,1238,25,0.01,f_new_flag,0.0,zero_variance
V1,V1,1238,50,0.02,discovery_binary_reward,0.087193,
V1,V1,1238,50,0.02,f_new_flag,0.0,zero_variance
V1,V1,1238,75,0.03,discovery_binary_reward,0.087754,
V1,V1,1238,75,0.03,f_new_flag,0.0,zero_variance
V1,V1,1239,25,0.01,discovery_binary_reward,0.04081,
V1,V1,1239,25,0.01,f_new_flag,0.004893,
V1,V1,1239,50,0.02,discovery_binary_reward,0.080309,
V1,V1,1239,50,0.02,f_new_flag,0.013557,
V1,V1,1239,75,0.03,discovery_binary_reward,0.078745,
V1,V1,1239,75,0.03,f_new_flag,0.025999,
V1,V1,1240,25,0.01,discovery_binary_reward,0.056945,
V1,V1,1240,25,0.01,f_new_flag,0.0,zero_variance
V1,V1,1240,50,0.02,discovery_binary_reward,0.074519,
V1,V1,1240,50,0.02,f_new_flag,0.0,zero_variance
V1,V1,1240,75,0.03,discovery_binary_reward,0.07728,
V1,V1,1240,75,0.03,f_new_flag,0.0,zero_variance
V1,V1,1241,25,0.02,discovery_binary_reward,0.065625,
V1,V1,1241,25,0.02,f_new_flag,0.0,zero_variance
V1,V1,1241,50,0.03,discovery_binary_reward,0.076628,
V1,V1,1241,50,0.03,f_new_flag,0.0,zero_variance
V1,V1,1241,75,0.04,discovery_binary_reward,0.097864,
V1,V1,1241,75,0.04,f_new_flag,0.0,zero_variance
V1,V1,1242,25,0.01,discovery_binary_reward,0.057197,
V1,V1,1242,25,0.01,f_new_flag,0.0,zero_variance
V1,V1,1242,50,0.02,discovery_binary_reward,0.068043,
V1,V1,1242,50,0.02,f_new_flag,0.0,zero_variance
V1,V1,1242,75,0.03,discovery_binary_reward,0.081062,
V1,V1,1242,75,0.03,f_new_flag,0.0,zero_variance
V1,V1,1243,25,0.01,discovery_binary_reward,0.036246,
V1,V1,1243,25,0.01,f_new_flag,0.004448,
V1,V1,1243,50,0.02,discovery_binary_reward,0.092892,
V1,V1,1243,50,0.02,f_new_flag,0.013174,
V1,V1,1243,75,0.03,discovery_binary_reward,0.076314,
V1,V1,1243,75,0.03,f_new_flag,-0.013537,
V5,V5,1234,25,0.02,discovery_binary_reward,0.057885,
V5,V5,1234,25,0.02,f_new_flag,0.0,zero_variance
V5,V5,1234,50,0.03,discovery_binary_reward,0.074645,
V5,V5,1234,50,0.03,f_new_flag,0.0,zero_variance
V5,V5,1234,75,0.04,discovery_binary_reward,0.060013,
V5,V5,1234,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1235,25,0.01,discovery_binary_reward,0.057167,
V5,V5,1235,25,0.01,f_new_flag,0.0,zero_variance
V5,V5,1235,50,0.02,discovery_binary_reward,0.074743,
V5,V5,1235,50,0.02,f_new_flag,0.0,zero_variance
V5,V5,1235,75,0.04,discovery_binary_reward,0.097175,
V5,V5,1235,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1236,25,0.01,discovery_binary_reward,0.062263,
V5,V5,1236,25,0.01,f_new_flag,0.0,zero_variance
V5,V5,1236,50,0.02,discovery_binary_reward,0.075296,
V5,V5,1236,50,0.02,f_new_flag,0.0,zero_variance
V5,V5,1236,75,0.04,discovery_binary_reward,0.094217,
V5,V5,1236,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1237,25,0.02,discovery_binary_reward,0.085635,
V5,V5,1237,25,0.02,f_new_flag,0.0,zero_variance
V5,V5,1237,50,0.03,discovery_binary_reward,0.078906,
V5,V5,1237,50,0.03,f_new_flag,0.0,zero_variance
V5,V5,1237,75,0.04,discovery_binary_reward,0.084077,
V5,V5,1237,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1238,25,0.01,discovery_binary_reward,0.049879,
V5,V5,1238,25,0.01,f_new_flag,0.0,zero_variance
V5,V5,1238,50,0.03,discovery_binary_reward,0.073767,
V5,V5,1238,50,0.03,f_new_flag,0.0,zero_variance
V5,V5,1238,75,0.04,discovery_binary_reward,0.092886,
V5,V5,1238,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1239,25,0.01,discovery_binary_reward,0.04464,
V5,V5,1239,25,0.01,f_new_flag,0.0,zero_variance
V5,V5,1239,50,0.02,discovery_binary_reward,0.075152,
V5,V5,1239,50,0.02,f_new_flag,0.0,zero_variance
V5,V5,1239,75,0.04,discovery_binary_reward,0.086908,
V5,V5,1239,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1240,25,0.01,discovery_binary_reward,0.054524,
V5,V5,1240,25,0.01,f_new_flag,0.0,zero_variance
V5,V5,1240,50,0.02,discovery_binary_reward,0.076562,
V5,V5,1240,50,0.02,f_new_flag,0.0,zero_variance
V5,V5,1240,75,0.03,discovery_binary_reward,0.101625,
V5,V5,1240,75,0.03,f_new_flag,0.0,zero_variance
V5,V5,1241,25,0.02,discovery_binary_reward,0.052673,
V5,V5,1241,25,0.02,f_new_flag,0.0,zero_variance
V5,V5,1241,50,0.02,discovery_binary_reward,0.052673,
V5,V5,1241,50,0.02,f_new_flag,0.0,zero_variance
V5,V5,1241,75,0.04,discovery_binary_reward,0.074537,
V5,V5,1241,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1242,25,0.01,discovery_binary_reward,0.053811,
V5,V5,1242,25,0.01,f_new_flag,0.0,zero_variance
V5,V5,1242,50,0.02,discovery_binary_reward,0.080802,
V5,V5,1242,50,0.02,f_new_flag,0.0,zero_variance
V5,V5,1242,75,0.04,discovery_binary_reward,0.097615,
V5,V5,1242,75,0.04,f_new_flag,0.0,zero_variance
V5,V5,1243,25,0.02,discovery_binary_reward,0.06178,
V5,V5,1243,25,0.02,f_new_flag,0.0,zero_variance
V5,V5,1243,50,0.03,discovery_binary_reward,0.082537,
V5,V5,1243,50,0.03,f_new_flag,0.0,zero_variance
V5,V5,1243,75,0.04,discovery_binary_reward,0.088668,
V5,V5,1243,75,0.04,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1234,25,0.02,discovery_binary_reward,0.061338,
D1A,V5_decayexp,1234,25,0.02,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1234,50,0.03,discovery_binary_reward,0.082443,
D1A,V5_decayexp,1234,50,0.03,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1234,75,0.05,discovery_binary_reward,0.072566,
D1A,V5_decayexp,1234,75,0.05,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1235,25,0.01,discovery_binary_reward,0.045186,
D1A,V5_decayexp,1235,25,0.01,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1235,50,0.02,discovery_binary_reward,0.09685,
D1A,V5_decayexp,1235,50,0.02,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1235,75,0.03,discovery_binary_reward,0.092807,
D1A,V5_decayexp,1235,75,0.03,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1236,25,0.01,discovery_binary_reward,0.075206,
D1A,V5_decayexp,1236,25,0.01,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1236,50,0.01,discovery_binary_reward,0.075206,
D1A,V5_decayexp,1236,50,0.01,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1236,75,0.03,discovery_binary_reward,0.109763,
D1A,V5_decayexp,1236,75,0.03,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1237,25,0.01,discovery_binary_reward,0.05706,
D1A,V5_decayexp,1237,25,0.01,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1237,50,0.02,discovery_binary_reward,0.070693,
D1A,V5_decayexp,1237,50,0.02,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1237,75,0.04,discovery_binary_reward,0.084008,
D1A,V5_decayexp,1237,75,0.04,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1238,25,0.01,discovery_binary_reward,0.060245,
D1A,V5_decayexp,1238,25,0.01,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1238,50,0.03,discovery_binary_reward,0.084755,
D1A,V5_decayexp,1238,50,0.03,f_new_flag,0.0,zero_variance
D1A,V5_decayexp,1238,75,0.04,discovery_binary_reward,0.073087,
D1A,V5_decayexp,1238,75,0.04,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1234,25,0.02,discovery_binary_reward,0.053509,
D1A,V5_decayepoch,1234,25,0.02,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1234,50,0.04,discovery_binary_reward,0.102238,
D1A,V5_decayepoch,1234,50,0.04,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1234,75,0.05,discovery_binary_reward,0.091471,
D1A,V5_decayepoch,1234,75,0.05,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1235,25,0.02,discovery_binary_reward,0.054595,
D1A,V5_decayepoch,1235,25,0.02,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1235,50,0.03,discovery_binary_reward,0.084422,
D1A,V5_decayepoch,1235,50,0.03,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1235,75,0.05,discovery_binary_reward,0.076444,
D1A,V5_decayepoch,1235,75,0.05,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1236,25,0.02,discovery_binary_reward,0.053537,
D1A,V5_decayepoch,1236,25,0.02,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1236,50,0.03,discovery_binary_reward,0.0819,
D1A,V5_decayepoch,1236,50,0.03,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1236,75,0.05,discovery_binary_reward,0.081335,
D1A,V5_decayepoch,1236,75,0.05,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1237,25,0.02,discovery_binary_reward,0.070057,
D1A,V5_decayepoch,1237,25,0.02,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1237,50,0.03,discovery_binary_reward,0.084129,
D1A,V5_decayepoch,1237,50,0.03,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1237,75,0.04,discovery_binary_reward,0.109459,
D1A,V5_decayepoch,1237,75,0.04,f_new_flag,0.0,zero_variance
D1A,V5_decayepoch,1238,25,0.02,discovery_binary_reward,0.06364,
