variant,seed,mutation_id,kind,step,iter_seed,class,evidence,trace_changed,post_inject_pc_changed,post_inject_trace_changed,inject_disasm_changed,unaligned_access,fault_word_change,global_residue,local_failures,global_failures,baseline_trace_digest,fault_trace_digest
V6_uniform,1234,2,INSTR_WORD_MOD,70,1234000002,accepted_propagated_candidate,weak,True,False,False,True,False,4291196435=>3217454611,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,8246221042697df8310f9261a2c472a0d20af006a4ff6d4ff0210eb2fb75dcc6
V6_uniform,1234,75,POST_EXEC_PC_MOD,3756,1234000075,accepted_noop,,False,False,False,False,False,2110044=>2110048,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_uniform,1235,40,INSTR_WORD_MOD,296,1235000040,accepted_noop,,False,False,False,False,False,807403635=>807436403,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_uniform,1235,71,POST_EXEC_PC_MOD,1679,1235000071,accepted_noop,,False,False,False,False,False,2141980=>2141984,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1234,33,INSTR_WORD_MOD,2726,1234000033,accepted_noop,cosmetic,True,False,False,True,False,67437667=>100992099,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,4194fd12eb146d02ed47fe75e04c41f2149692e3ddc6bee023cdb827859fba33
V6_cTS,1234,39,INSTR_WORD_MOD,1648,1234000039,accepted_noop,cosmetic,True,False,False,True,False,367715=>365667,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,f99779ad815e516d532c45941d18e8e98301cc2705209518774288dd7069c3ec
V6_cTS,1234,46,INSTR_WORD_MOD,618,1234000046,accepted_noop,,False,False,False,False,False,115=>243,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1234,51,INSTR_WORD_MOD,3961,1234000051,accepted_noop,,False,False,False,False,False,115=>1139,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1234,52,INSTR_WORD_MOD,3931,1234000052,accepted_noop,,False,False,False,False,False,360551=>364647,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1234,54,INSTR_WORD_MOD,3939,1234000054,accepted_propagated_candidate,weak,True,False,False,True,True,7545379=>7545635,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,c42d412000be0b1c773a55f659ab50bcdca9a3f79ffd5ca257d2995928076724
V6_cTS,1234,70,INSTR_WORD_MOD,174,1234000070,accepted_noop,,False,False,False,False,False,115=>371,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1234,76,INSTR_WORD_MOD,524,1234000076,accepted_noop,,False,False,False,False,False,360551=>376935,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1235,29,INSTR_WORD_MOD,276,1235000029,accepted_noop,cosmetic,True,False,False,True,False,44561507=>44563555,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,4e330a92703824c33edafa7c02a4213b2f7b139daa00baeb1a37cdc0d2324fe1
V6_cTS,1235,30,INSTR_WORD_MOD,19,1235000030,accepted_noop,,False,False,False,False,False,807403635=>807405683,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1235,34,INSTR_WORD_MOD,858,1235000034,accepted_noop,,False,False,False,False,False,807403635=>807665779,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1235,40,INSTR_WORD_MOD,777,1235000040,accepted_noop,,False,False,False,False,False,115=>32883,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1235,51,INSTR_WORD_MOD,3961,1235000051,accepted_noop,,False,False,False,False,False,115=>262259,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1235,57,INSTR_WORD_MOD,452,1235000057,accepted_noop,,False,False,False,False,False,115=>627,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
V6_cTS,1235,62,INSTR_WORD_MOD,361,1235000062,accepted_noop,cosmetic,True,False,False,True,False,19224675=>19222627,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,3af49be72d49daee24dc0385a004d3c6284c0aa4267cb7ec97a0125082e848e6
V6_cTS,1235,63,INSTR_WORD_MOD,760,1235000063,accepted_noop,,False,False,False,False,False,115=>262259,False,0,0,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9,26789e6e856a15bd8cc059a0dbaa765f089097476fe8e4a8e9597907112399d9
