variant,seed,kind,pulls,failures,failure_rate,pulls_per_1k
V5_control,1234,COMP_OUT_MOD,8,15,1.875,80.0
V5_control,1234,CYCLE_DIFF_COUNT_MOD,20,0,0.0,200.0
V5_control,1234,INSTR_TYPE_MOD,17,103,6.0588235294117645,170.0
V5_control,1234,INSTR_WORD_MOD_FULL,7,8,1.1428571428571428,70.0
V5_control,1234,INSTR_WORD_MOD_SUR,7,4,0.5714285714285714,70.0
V5_control,1234,LOAD_VAL_MOD,2,3,1.5,20.0
V5_control,1234,MEM_VAL_MOD,9,30,3.3333333333333335,90.0
V5_control,1234,PRE_EXEC_REG_MOD,8,28,3.5,80.0
V5_control,1234,STORE_OUT_MOD,2,4,2.0,20.0
V5_control,1234,TXN_PREV_CYCLE_MOD,10,0,0.0,100.0
V5_control,1234,TXN_PREV_WORD_MOD,10,7,0.7,100.0
V5_control,1235,COMP_OUT_MOD,8,16,2.0,80.0
V5_control,1235,CYCLE_DIFF_COUNT_MOD,20,0,0.0,200.0
V5_control,1235,INSTR_TYPE_MOD,17,71,4.176470588235294,170.0
V5_control,1235,INSTR_WORD_MOD_FULL,7,12,1.7142857142857142,70.0
V5_control,1235,INSTR_WORD_MOD_SUR,7,10,1.4285714285714286,70.0
V5_control,1235,LOAD_VAL_MOD,2,3,1.5,20.0
V5_control,1235,MEM_VAL_MOD,9,38,4.222222222222222,90.0
V5_control,1235,PRE_EXEC_REG_MOD,8,28,3.5,80.0
V5_control,1235,STORE_OUT_MOD,2,4,2.0,20.0
V5_control,1235,TXN_PREV_CYCLE_MOD,10,0,0.0,100.0
V5_control,1235,TXN_PREV_WORD_MOD,10,24,2.4,100.0
V6_uniform,1234,BR_NEG_COND,3,1,0.3333333333333333,30.0
V6_uniform,1234,COMP_OUT_MOD,6,6,1.0,60.0
V6_uniform,1234,INSTR_WORD_MOD,13,2,0.15384615384615385,130.0
V6_uniform,1234,LOAD_VAL_MOD,1,0,0.0,10.0
V6_uniform,1234,POST_EXEC_MEM_MOD,10,55,5.5,100.0
V6_uniform,1234,POST_EXEC_PC_MOD,12,15,1.25,120.0
V6_uniform,1234,POST_EXEC_REG_MOD,16,132,8.25,160.0
V6_uniform,1234,PRE_EXEC_MEM_MOD,9,52,5.777777777777778,90.0
V6_uniform,1234,PRE_EXEC_PC_MOD,12,51,4.25,120.0
V6_uniform,1234,PRE_EXEC_REG_MOD,18,104,5.777777777777778,180.0
V6_uniform,1235,BR_NEG_COND,2,2,1.0,20.0
V6_uniform,1235,COMP_OUT_MOD,6,7,1.1666666666666667,60.0
V6_uniform,1235,INSTR_WORD_MOD,17,14,0.8235294117647058,170.0
V6_uniform,1235,POST_EXEC_MEM_MOD,17,137,8.058823529411764,170.0
V6_uniform,1235,POST_EXEC_PC_MOD,9,2,0.2222222222222222,90.0
V6_uniform,1235,POST_EXEC_REG_MOD,16,93,5.8125,160.0
V6_uniform,1235,PRE_EXEC_MEM_MOD,9,62,6.888888888888889,90.0
V6_uniform,1235,PRE_EXEC_PC_MOD,13,17,1.3076923076923077,130.0
V6_uniform,1235,PRE_EXEC_REG_MOD,9,50,5.555555555555555,90.0
V6_uniform,1235,STORE_OUT_MOD,2,3,1.5,20.0
V6_cTS,1234,BR_NEG_COND,9,13,1.4444444444444444,90.0
V6_cTS,1234,COMP_OUT_MOD,12,41,3.4166666666666665,120.0
V6_cTS,1234,INSTR_WORD_MOD,57,95,1.6666666666666667,570.0
V6_cTS,1234,LOAD_VAL_MOD,10,8,0.8,100.0
V6_cTS,1234,POST_EXEC_MEM_MOD,12,94,7.833333333333333,120.0
V6_cTS,1235,BR_NEG_COND,9,4,0.4444444444444444,90.0
V6_cTS,1235,COMP_OUT_MOD,12,72,6.0,120.0
V6_cTS,1235,INSTR_WORD_MOD,57,47,0.8245614035087719,570.0
V6_cTS,1235,LOAD_VAL_MOD,10,23,2.3,100.0
V6_cTS,1235,POST_EXEC_MEM_MOD,12,57,4.75,120.0
Hybrid_cTS,1234,BR_NEG_COND,9,4,0.4444444444444444,90.0
Hybrid_cTS,1234,COMP_OUT_MOD,4,7,1.75,40.0
Hybrid_cTS,1234,CYCLE_DIFF_COUNT_MOD,10,0,0.0,100.0
Hybrid_cTS,1234,INSTR_TYPE_MOD,9,64,7.111111111111111,90.0
Hybrid_cTS,1234,INSTR_WORD_MOD,13,12,0.9230769230769231,130.0
Hybrid_cTS,1234,INSTR_WORD_MOD_FULL,7,8,1.1428571428571428,70.0
Hybrid_cTS,1234,INSTR_WORD_MOD_SUR,7,4,0.5714285714285714,70.0
Hybrid_cTS,1234,LOAD_VAL_MOD,2,3,1.5,20.0
Hybrid_cTS,1234,MEM_VAL_MOD,9,30,3.3333333333333335,90.0
Hybrid_cTS,1234,PRE_EXEC_REG_MOD,8,28,3.5,80.0
Hybrid_cTS,1234,STORE_OUT_MOD,2,4,2.0,20.0
Hybrid_cTS,1234,TXN_PREV_CYCLE_MOD,10,0,0.0,100.0
Hybrid_cTS,1234,TXN_PREV_WORD_MOD,10,7,0.7,100.0
Hybrid_cTS,1235,BR_NEG_COND,9,2,0.2222222222222222,90.0
Hybrid_cTS,1235,COMP_OUT_MOD,4,8,2.0,40.0
Hybrid_cTS,1235,CYCLE_DIFF_COUNT_MOD,10,0,0.0,100.0
Hybrid_cTS,1235,INSTR_TYPE_MOD,9,43,4.777777777777778,90.0
Hybrid_cTS,1235,INSTR_WORD_MOD,13,21,1.6153846153846154,130.0
Hybrid_cTS,1235,INSTR_WORD_MOD_FULL,7,12,1.7142857142857142,70.0
Hybrid_cTS,1235,INSTR_WORD_MOD_SUR,7,10,1.4285714285714286,70.0
Hybrid_cTS,1235,LOAD_VAL_MOD,2,3,1.5,20.0
Hybrid_cTS,1235,MEM_VAL_MOD,9,38,4.222222222222222,90.0
Hybrid_cTS,1235,PRE_EXEC_REG_MOD,8,28,3.5,80.0
Hybrid_cTS,1235,STORE_OUT_MOD,2,4,2.0,20.0
Hybrid_cTS,1235,TXN_PREV_CYCLE_MOD,10,0,0.0,100.0
Hybrid_cTS,1235,TXN_PREV_WORD_MOD,10,24,2.4,100.0
