variant,seed,expected_n,mutation_id,step,kind,outcome,channel,local_failures
V5_control,1234,100,1,3631,COMP_OUT_MOD,applied,C1,2
V5_control,1234,100,2,3161,COMP_OUT_MOD,applied,C1,2
V5_control,1234,100,3,530,COMP_OUT_MOD,applied,C1,2
V5_control,1234,100,4,175,COMP_OUT_MOD,applied,C1,1
V5_control,1234,100,5,668,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,6,3156,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,7,568,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,8,407,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,9,696,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,10,2960,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,11,752,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,12,3929,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,13,175,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,14,173,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,15,123,INSTR_TYPE_MOD,applied,C1,37
V5_control,1234,100,16,2510,INSTR_TYPE_MOD,applied,C1,1
V5_control,1234,100,17,3238,INSTR_TYPE_MOD,applied,C1,1
V5_control,1234,100,18,3503,INSTR_TYPE_MOD,applied,C1,4
V5_control,1234,100,19,610,INSTR_TYPE_MOD,applied,C1,4
V5_control,1234,100,20,356,INSTR_TYPE_MOD,applied,C1,4
V5_control,1234,100,21,609,INSTR_TYPE_MOD,applied,C1,3
V5_control,1234,100,22,446,INSTR_TYPE_MOD,applied,C1,5
V5_control,1234,100,23,0,INSTR_TYPE_MOD,applied,C1,5
V5_control,1234,100,24,118,INSTR_WORD_MOD_FULL,applied,C1,1
V5_control,1234,100,25,3374,INSTR_WORD_MOD_FULL,applied,applied_other,0
V5_control,1234,100,26,3271,INSTR_WORD_MOD_FULL,applied,applied_other,0
V5_control,1234,100,27,2540,INSTR_WORD_MOD_FULL,applied,C1,2
V5_control,1234,100,28,452,INSTR_WORD_MOD_FULL,applied,applied_other,0
V5_control,1234,100,29,3914,INSTR_WORD_MOD_FULL,applied,C1,3
V5_control,1234,100,30,3157,INSTR_WORD_MOD_FULL,applied,C1,2
V5_control,1234,100,31,510,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,100,32,1209,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,100,33,3450,INSTR_WORD_MOD_SUR,applied,applied_other,0
V5_control,1234,100,34,417,INSTR_WORD_MOD_SUR,applied,applied_other,0
V5_control,1234,100,35,921,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,100,36,3548,INSTR_WORD_MOD_SUR,applied,applied_other,0
V5_control,1234,100,37,372,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,100,38,2167,LOAD_VAL_MOD,applied,C1,1
V5_control,1234,100,39,2055,LOAD_VAL_MOD,applied,C1,2
V5_control,1234,100,40,2140,MEM_VAL_MOD,applied,C1,3
V5_control,1234,100,41,746,MEM_VAL_MOD,applied,C1,2
V5_control,1234,100,42,1958,MEM_VAL_MOD,applied,C1,3
V5_control,1234,100,43,1598,MEM_VAL_MOD,applied,C1,2
V5_control,1234,100,44,2496,MEM_VAL_MOD,applied,C1,4
V5_control,1234,100,45,3929,MEM_VAL_MOD,applied,C1,2
V5_control,1234,100,46,174,MEM_VAL_MOD,applied,C1,2
V5_control,1234,100,47,368,MEM_VAL_MOD,applied,C1,2
V5_control,1234,100,48,0,MEM_VAL_MOD,applied,C1,10
V5_control,1234,100,49,50,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1234,100,50,2263,PRE_EXEC_REG_MOD,applied,C1,3
V5_control,1234,100,51,3668,PRE_EXEC_REG_MOD,applied,C1,4
V5_control,1234,100,52,3595,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1234,100,53,3766,PRE_EXEC_REG_MOD,applied,C1,1
V5_control,1234,100,54,1838,PRE_EXEC_REG_MOD,applied,C1,4
V5_control,1234,100,55,608,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1234,100,56,0,PRE_EXEC_REG_MOD,applied,C1,10
V5_control,1234,100,57,214,STORE_OUT_MOD,applied,C1,2
V5_control,1234,100,58,18,STORE_OUT_MOD,applied,C1,2
