variant,seed,channel,count
Hybrid_cTS,1234,C1,55
Hybrid_cTS,1234,C2,11
Hybrid_cTS,1234,accepted,1
Hybrid_cTS,1234,applied_other,32
Hybrid_cTS,1234,error,1
Hybrid_cTS,1235,C1,60
Hybrid_cTS,1235,C2,11
Hybrid_cTS,1235,C5,2
Hybrid_cTS,1235,accepted,3
Hybrid_cTS,1235,applied_other,24
V5_control,1234,C1,58
V5_control,1234,applied_other,42
V5_control,1235,C1,66
V5_control,1235,applied_other,34
V6_cTS,1234,C1,41
V6_cTS,1234,C2,46
V6_cTS,1234,C5,4
V6_cTS,1234,accepted,8
V6_cTS,1234,error,1
V6_cTS,1235,C1,39
V6_cTS,1235,C2,45
V6_cTS,1235,C5,6
V6_cTS,1235,accepted,9
V6_cTS,1235,error,1
V6_uniform,1234,C1,70
V6_uniform,1234,C2,24
V6_uniform,1234,C5,4
V6_uniform,1234,accepted,2
V6_uniform,1235,C1,67
V6_uniform,1235,C2,29
V6_uniform,1235,C5,2
V6_uniform,1235,accepted,2
