variant,seed,expected_n,phase,split_at_mutation_id,pulls,instr_word_mod_share,instr_word_mod_pulls,top_kind,top_kind_share,kind_entropy
V5_control,1234,10000,early,5000,5000,0.0,0,INSTR_TYPE_MOD,0.2252,3.189784209073055
V5_control,1234,10000,late,5000,4999,0.0,0,INSTR_TYPE_MOD,0.2448489697939588,3.1672317529381333
V5_control,1234,10000,all,,9999,0.0,0,INSTR_TYPE_MOD,0.23502350235023503,3.1791409932751447
V5_control,1234,10000,mode_adaptive,,3,0.0,0,CYCLE_DIFF_COUNT_MOD,0.00030003000300030005,
V5_control,1234,10000,mode_adaptive,,1443,0.0,0,INSTR_TYPE_MOD,0.14431443144314432,
V5_control,1234,10000,mode_adaptive,,18,0.0,0,INSTR_WORD_MOD_FULL,0.0018001800180018,
V5_control,1234,10000,mode_adaptive,,5,0.0,0,INSTR_WORD_MOD_SUR,0.0005000500050005,
V5_control,1234,10000,mode_adaptive,,265,0.0,0,MEM_VAL_MOD,0.026502650265026503,
V5_control,1234,10000,mode_adaptive,,101,0.0,0,PRE_EXEC_REG_MOD,0.010101010101010102,
V5_control,1234,10000,mode_adaptive,,298,0.0,0,TXN_PREV_CYCLE_MOD,0.029802980298029802,
V5_control,1234,10000,mode_adaptive,,11,0.0,0,TXN_PREV_WORD_MOD,0.0011001100110011,
V5_control,1234,10000,mode_cold,,12,0.0,0,COMP_OUT_MOD,0.0012001200120012002,
V5_control,1234,10000,mode_cold,,30,0.0,0,CYCLE_DIFF_COUNT_MOD,0.003000300030003,
V5_control,1234,10000,mode_cold,,27,0.0,0,INSTR_TYPE_MOD,0.0027002700270027003,
V5_control,1234,10000,mode_cold,,21,0.0,0,INSTR_WORD_MOD_FULL,0.0021002100210021,
V5_control,1234,10000,mode_cold,,21,0.0,0,INSTR_WORD_MOD_SUR,0.0021002100210021,
V5_control,1234,10000,mode_cold,,6,0.0,0,LOAD_VAL_MOD,0.0006000600060006001,
V5_control,1234,10000,mode_cold,,27,0.0,0,MEM_VAL_MOD,0.0027002700270027003,
V5_control,1234,10000,mode_cold,,24,0.0,0,PRE_EXEC_REG_MOD,0.0024002400240024004,
V5_control,1234,10000,mode_cold,,6,0.0,0,STORE_OUT_MOD,0.0006000600060006001,
V5_control,1234,10000,mode_cold,,30,0.0,0,TXN_PREV_CYCLE_MOD,0.003000300030003,
V5_control,1234,10000,mode_cold,,30,0.0,0,TXN_PREV_WORD_MOD,0.003000300030003,
V5_control,1234,10000,mode_floor,,391,0.0,0,COMP_OUT_MOD,0.0391039103910391,
V5_control,1234,10000,mode_floor,,975,0.0,0,CYCLE_DIFF_COUNT_MOD,0.09750975097509751,
V5_control,1234,10000,mode_floor,,878,0.0,0,INSTR_TYPE_MOD,0.08780878087808781,
V5_control,1234,10000,mode_floor,,684,0.0,0,INSTR_WORD_MOD_FULL,0.06840684068406841,
V5_control,1234,10000,mode_floor,,682,0.0,0,INSTR_WORD_MOD_SUR,0.06820682068206821,
V5_control,1234,10000,mode_floor,,196,0.0,0,LOAD_VAL_MOD,0.0196019601960196,
V5_control,1234,10000,mode_floor,,876,0.0,0,MEM_VAL_MOD,0.08760876087608761,
V5_control,1234,10000,mode_floor,,779,0.0,0,PRE_EXEC_REG_MOD,0.0779077907790779,
V5_control,1234,10000,mode_floor,,196,0.0,0,STORE_OUT_MOD,0.0196019601960196,
V5_control,1234,10000,mode_floor,,975,0.0,0,TXN_PREV_CYCLE_MOD,0.09750975097509751,
V5_control,1234,10000,mode_floor,,975,0.0,0,TXN_PREV_WORD_MOD,0.09750975097509751,
V5_control,1234,10000,mode_singleton,,2,0.0,0,CYCLE_DIFF_COUNT_MOD,0.00020002000200020003,
V5_control,1234,10000,mode_singleton,,2,0.0,0,INSTR_TYPE_MOD,0.00020002000200020003,
V5_control,1234,10000,mode_singleton,,4,0.0,0,MEM_VAL_MOD,0.00040004000400040005,
V5_control,1234,10000,mode_singleton,,2,0.0,0,PRE_EXEC_REG_MOD,0.00020002000200020003,
V5_control,1234,10000,mode_singleton,,2,0.0,0,TXN_PREV_CYCLE_MOD,0.00020002000200020003,
V5_control,1234,10000,mode_singleton,,2,0.0,0,TXN_PREV_WORD_MOD,0.00020002000200020003,
V5_control,1235,10000,early,5000,5000,0.0,0,INSTR_TYPE_MOD,0.2292,3.1890329211398405
V5_control,1235,10000,late,5000,5000,0.0,0,INSTR_TYPE_MOD,0.2458,3.167662072390542
V5_control,1235,10000,all,,10000,0.0,0,INSTR_TYPE_MOD,0.2375,3.17889613341938
V5_control,1235,10000,mode_adaptive,,2,0.0,0,CYCLE_DIFF_COUNT_MOD,0.0002,
V5_control,1235,10000,mode_adaptive,,1468,0.0,0,INSTR_TYPE_MOD,0.1468,
V5_control,1235,10000,mode_adaptive,,32,0.0,0,INSTR_WORD_MOD_FULL,0.0032,
V5_control,1235,10000,mode_adaptive,,22,0.0,0,INSTR_WORD_MOD_SUR,0.0022,
V5_control,1235,10000,mode_adaptive,,208,0.0,0,MEM_VAL_MOD,0.0208,
V5_control,1235,10000,mode_adaptive,,102,0.0,0,PRE_EXEC_REG_MOD,0.0102,
