variant,seed,kind,pulls,failures,failure_rate,pulls_per_1k
V5_control,1234,COMP_OUT_MOD,403,728,1.8064516129032258,40.3
V5_control,1234,CYCLE_DIFF_COUNT_MOD,1010,0,0.0,101.0
V5_control,1234,INSTR_TYPE_MOD,2350,11681,4.97063829787234,235.0
V5_control,1234,INSTR_WORD_MOD_FULL,723,1238,1.7123098201936375,72.3
V5_control,1234,INSTR_WORD_MOD_SUR,708,555,0.7838983050847458,70.8
V5_control,1234,LOAD_VAL_MOD,202,371,1.8366336633663367,20.2
V5_control,1234,MEM_VAL_MOD,1172,5085,4.338737201365188,117.2
V5_control,1234,PRE_EXEC_REG_MOD,906,3129,3.4536423841059603,90.6
V5_control,1234,STORE_OUT_MOD,202,378,1.8712871287128714,20.2
V5_control,1234,TXN_PREV_CYCLE_MOD,1305,0,0.0,130.5
V5_control,1234,TXN_PREV_WORD_MOD,1018,1387,1.362475442043222,101.8
V5_control,1235,COMP_OUT_MOD,403,725,1.7990074441687345,40.3
V5_control,1235,CYCLE_DIFF_COUNT_MOD,1009,0,0.0,100.9
V5_control,1235,INSTR_TYPE_MOD,2375,11889,5.005894736842105,237.5
V5_control,1235,INSTR_WORD_MOD_FULL,737,1287,1.7462686567164178,73.7
V5_control,1235,INSTR_WORD_MOD_SUR,725,569,0.7848275862068965,72.5
V5_control,1235,LOAD_VAL_MOD,202,377,1.8663366336633664,20.2
V5_control,1235,MEM_VAL_MOD,1115,4404,3.9497757847533634,111.5
V5_control,1235,PRE_EXEC_REG_MOD,907,3058,3.3715545755237044,90.7
V5_control,1235,STORE_OUT_MOD,202,377,1.8663366336633664,20.2
V5_control,1235,TXN_PREV_CYCLE_MOD,1297,0,0.0,129.7
V5_control,1235,TXN_PREV_WORD_MOD,1028,1426,1.38715953307393,102.8
V5_control,1236,COMP_OUT_MOD,404,723,1.7896039603960396,40.4
V5_control,1236,CYCLE_DIFF_COUNT_MOD,1007,0,0.0,100.7
V5_control,1236,INSTR_TYPE_MOD,2356,12419,5.2712224108658745,235.6
V5_control,1236,INSTR_WORD_MOD_FULL,748,1206,1.6122994652406417,74.8
V5_control,1236,INSTR_WORD_MOD_SUR,720,603,0.8375,72.0
V5_control,1236,LOAD_VAL_MOD,202,384,1.900990099009901,20.2
V5_control,1236,MEM_VAL_MOD,1180,4885,4.139830508474576,118.0
V5_control,1236,PRE_EXEC_REG_MOD,894,3015,3.37248322147651,89.4
V5_control,1236,STORE_OUT_MOD,203,374,1.8423645320197044,20.3
V5_control,1236,TXN_PREV_CYCLE_MOD,1253,0,0.0,125.3
V5_control,1236,TXN_PREV_WORD_MOD,1031,1703,1.6517943743937924,103.1
V6_uniform,1234,BR_NEG_COND,252,158,0.626984126984127,25.2
V6_uniform,1234,COMP_OUT_MOD,637,1220,1.915227629513344,63.7
V6_uniform,1234,INSTR_WORD_MOD,1291,1421,1.1006971340046476,129.1
V6_uniform,1234,LOAD_VAL_MOD,101,138,1.3663366336633664,10.1
V6_uniform,1234,POST_EXEC_MEM_MOD,1280,9022,7.0484375,128.0
V6_uniform,1234,POST_EXEC_PC_MOD,1221,1517,1.2424242424242424,122.1
V6_uniform,1234,POST_EXEC_REG_MOD,1307,9117,6.975516449885234,130.7
V6_uniform,1234,PRE_EXEC_MEM_MOD,1261,9557,7.578905630452022,126.1
V6_uniform,1234,PRE_EXEC_PC_MOD,1274,1864,1.4631083202511774,127.4
V6_uniform,1234,PRE_EXEC_REG_MOD,1287,11050,8.585858585858587,128.7
V6_uniform,1234,STORE_OUT_MOD,89,152,1.7078651685393258,8.9
V6_uniform,1235,BR_NEG_COND,241,191,0.7925311203319502,24.1
V6_uniform,1235,COMP_OUT_MOD,626,1472,2.351437699680511,62.6
V6_uniform,1235,INSTR_WORD_MOD,1259,2053,1.630659253375695,125.9
V6_uniform,1235,LOAD_VAL_MOD,117,238,2.034188034188034,11.7
V6_uniform,1235,POST_EXEC_MEM_MOD,1320,10153,7.691666666666666,132.0
V6_uniform,1235,POST_EXEC_PC_MOD,1205,34311,28.473858921161824,120.5
V6_uniform,1235,POST_EXEC_REG_MOD,1303,8951,6.869531849577897,130.3
V6_uniform,1235,PRE_EXEC_MEM_MOD,1287,9156,7.1142191142191145,128.7
V6_uniform,1235,PRE_EXEC_PC_MOD,1346,18413,13.679791976225854,134.6
V6_uniform,1235,PRE_EXEC_REG_MOD,1215,9356,7.700411522633745,121.5
