variant,seed,expected_n,db_path,n_mutations,local_context_final,local_coverage_v2_final,local_context_AUC,compressed_global_context_final,allocation_entropy_by_kind,allocation_entropy_by_zone,unique_normalized_locs,applied_count,skipped_count,error_count,applied_rate,telemetry_sparse,bandit_decisions_count,arm_occupancy_available,failures_derived_d_loc_le_2_rate,failures_derived_singleton_rate
V5_control,1234,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_V5_control_seed1234_n10000/run.db,9999,47,783,447796.5,373,3.1791409932751447,3.398428801959027,47,9910,0,89,0.9910991099109911,False,,False,,
V5_control,1235,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_V5_control_seed1235_n10000/run.db,10000,46,771,442399.0,368,3.17889613341938,3.384458686297709,46,9927,0,73,0.9927,False,,False,,
V5_control,1236,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b2/pos_iv_pos_8_d2f_V5_control_seed1236_n10000/run.db,9998,49,763,454609.5,372,3.1818736474781173,3.3882617021149257,49,9930,0,68,0.9931986397279456,False,,False,,
V6_uniform,1234,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_V6_uniform_seed1234_n10000/run.db,10000,34,0,323935.0,495,3.16559030308512,1.901255183620852,34,9488,490,22,0.9488,True,,False,0.5278,0.1063
V6_uniform,1235,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_V6_uniform_seed1235_n10000/run.db,10000,36,0,322844.0,482,3.163730890015027,1.917063331565255,36,9488,495,17,0.9488,True,,False,0.5333,0.1016
V6_uniform,1236,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b2/pos_iv_pos_8_d2f_V6_uniform_seed1236_n10000/run.db,10000,35,0,321303.5,484,3.1658044621016566,1.9327425184914304,35,9461,525,14,0.9461,True,,False,0.5435,0.1091
V6_cTS,1234,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_V6_cTS_seed1234_n10000/run.db,10000,36,281,335898.5,619,3.026520304361946,3.026520304361946,36,9491,494,15,0.9491,False,10000.0,True,,
V6_cTS,1235,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_V6_cTS_seed1235_n10000/run.db,10000,36,298,348065.5,615,3.0253011766194216,3.0253011766194216,36,9430,551,19,0.943,False,10000.0,True,,
V6_cTS,1236,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b2/pos_iv_pos_8_d2f_V6_cTS_seed1236_n10000/run.db,10000,36,298,346763.5,619,3.0308548904075865,3.0308548904075865,36,9400,573,27,0.94,False,10000.0,True,,
Hybrid_cTS,1234,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_Hybrid_cTS_seed1234_n10000/run.db,10000,48,647,459934.0,500,3.645751616592083,3.7295965288242905,48,9742,203,55,0.9742,False,10000.0,True,,
Hybrid_cTS,1235,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b1/pos_iv_pos_8_d2f_Hybrid_cTS_seed1235_n10000/run.db,10000,49,686,465880.5,517,3.649942554711635,3.738330208500843,49,9740,184,76,0.974,False,10000.0,True,,
Hybrid_cTS,1236,10000,/root/arguzz/a4/runs/iv_pos_8/d2f/prod/d2f_prod_b2/pos_iv_pos_8_d2f_Hybrid_cTS_seed1236_n10000/run.db,10000,48,684,464855.0,502,3.6451868268019947,3.730780168403701,48,9757,203,40,0.9757,False,10000.0,True,,
