variant,seed,expected_n,mutation_id,step,kind,outcome,channel,local_failures
V5_control,1234,10000,1,3631,COMP_OUT_MOD,applied,C1,2
V5_control,1234,10000,2,3161,COMP_OUT_MOD,applied,C1,2
V5_control,1234,10000,3,530,COMP_OUT_MOD,applied,C1,2
V5_control,1234,10000,4,175,COMP_OUT_MOD,applied,C1,1
V5_control,1234,10000,5,668,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,6,3156,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,7,568,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,8,407,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,9,696,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,10,2960,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,11,752,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,12,3929,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,13,175,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,14,173,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,10000,15,123,INSTR_TYPE_MOD,applied,C1,37
V5_control,1234,10000,16,2510,INSTR_TYPE_MOD,applied,C1,1
V5_control,1234,10000,17,3238,INSTR_TYPE_MOD,applied,C1,1
V5_control,1234,10000,18,3503,INSTR_TYPE_MOD,applied,C1,4
V5_control,1234,10000,19,610,INSTR_TYPE_MOD,applied,C1,4
V5_control,1234,10000,20,356,INSTR_TYPE_MOD,applied,C1,4
V5_control,1234,10000,21,609,INSTR_TYPE_MOD,applied,C1,3
V5_control,1234,10000,22,446,INSTR_TYPE_MOD,applied,C1,5
V5_control,1234,10000,23,0,INSTR_TYPE_MOD,applied,C1,5
V5_control,1234,10000,24,118,INSTR_WORD_MOD_FULL,applied,C1,1
V5_control,1234,10000,25,3374,INSTR_WORD_MOD_FULL,applied,applied_other,0
V5_control,1234,10000,26,3271,INSTR_WORD_MOD_FULL,applied,applied_other,0
V5_control,1234,10000,27,2540,INSTR_WORD_MOD_FULL,applied,C1,2
V5_control,1234,10000,28,452,INSTR_WORD_MOD_FULL,applied,applied_other,0
V5_control,1234,10000,29,3914,INSTR_WORD_MOD_FULL,applied,C1,3
V5_control,1234,10000,30,3157,INSTR_WORD_MOD_FULL,applied,C1,2
V5_control,1234,10000,31,510,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,10000,32,1209,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,10000,33,3450,INSTR_WORD_MOD_SUR,applied,applied_other,0
V5_control,1234,10000,34,417,INSTR_WORD_MOD_SUR,applied,applied_other,0
V5_control,1234,10000,35,921,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,10000,36,3548,INSTR_WORD_MOD_SUR,applied,applied_other,0
V5_control,1234,10000,37,372,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1234,10000,38,2167,LOAD_VAL_MOD,applied,C1,1
V5_control,1234,10000,39,2055,LOAD_VAL_MOD,applied,C1,2
V5_control,1234,10000,40,2140,MEM_VAL_MOD,applied,C1,3
V5_control,1234,10000,41,746,MEM_VAL_MOD,applied,C1,2
V5_control,1234,10000,42,1958,MEM_VAL_MOD,applied,C1,3
V5_control,1234,10000,43,1598,MEM_VAL_MOD,applied,C1,2
V5_control,1234,10000,44,2496,MEM_VAL_MOD,applied,C1,4
V5_control,1234,10000,45,3929,MEM_VAL_MOD,applied,C1,2
V5_control,1234,10000,46,174,MEM_VAL_MOD,applied,C1,2
V5_control,1234,10000,47,368,MEM_VAL_MOD,applied,C1,2
V5_control,1234,10000,48,0,MEM_VAL_MOD,applied,C1,10
V5_control,1234,10000,49,50,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1234,10000,50,2263,PRE_EXEC_REG_MOD,applied,C1,3
V5_control,1234,10000,51,3668,PRE_EXEC_REG_MOD,applied,C1,4
V5_control,1234,10000,52,3595,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1234,10000,53,3766,PRE_EXEC_REG_MOD,applied,C1,1
V5_control,1234,10000,54,1838,PRE_EXEC_REG_MOD,applied,C1,4
V5_control,1234,10000,55,608,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1234,10000,56,0,PRE_EXEC_REG_MOD,applied,C1,10
V5_control,1234,10000,57,214,STORE_OUT_MOD,applied,C1,2
V5_control,1234,10000,58,18,STORE_OUT_MOD,applied,C1,2
V5_control,1234,10000,59,3519,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,10000,60,511,TXN_PREV_CYCLE_MOD,applied,applied_other,0
