variant,seed,channel,count
Hybrid_cTS,1234,C1,6121
Hybrid_cTS,1234,C2,1255
Hybrid_cTS,1234,C5,203
Hybrid_cTS,1234,accepted,148
Hybrid_cTS,1234,applied_other,2218
Hybrid_cTS,1234,error,55
Hybrid_cTS,1235,C1,6044
Hybrid_cTS,1235,C2,1242
Hybrid_cTS,1235,C5,184
Hybrid_cTS,1235,accepted,156
Hybrid_cTS,1235,applied_other,2298
Hybrid_cTS,1235,error,76
Hybrid_cTS,1236,C1,6077
Hybrid_cTS,1236,C2,1248
Hybrid_cTS,1236,C5,203
Hybrid_cTS,1236,accepted,145
Hybrid_cTS,1236,applied_other,2287
Hybrid_cTS,1236,error,40
V5_control,1234,C1,6396
V5_control,1234,applied_other,3514
V5_control,1234,error,89
V5_control,1235,C1,6334
V5_control,1235,applied_other,3593
V5_control,1235,error,73
V5_control,1236,C1,6461
V5_control,1236,applied_other,3469
V5_control,1236,error,68
V6_cTS,1234,C1,5519
V6_cTS,1234,C2,3473
V6_cTS,1234,C5,494
V6_cTS,1234,accepted,499
V6_cTS,1234,error,15
V6_cTS,1235,C1,5438
V6_cTS,1235,C2,3505
V6_cTS,1235,C5,551
V6_cTS,1235,accepted,487
V6_cTS,1235,error,19
V6_cTS,1236,C1,5508
V6_cTS,1236,C2,3410
V6_cTS,1236,C5,573
V6_cTS,1236,accepted,482
V6_cTS,1236,error,27
V6_uniform,1234,C1,6811
V6_uniform,1234,C2,2385
V6_uniform,1234,C5,490
V6_uniform,1234,accepted,292
V6_uniform,1234,error,22
V6_uniform,1235,C1,6784
V6_uniform,1235,C2,2411
V6_uniform,1235,C5,495
V6_uniform,1235,accepted,293
V6_uniform,1235,error,17
V6_uniform,1236,C1,6758
V6_uniform,1236,C2,2410
V6_uniform,1236,C5,525
V6_uniform,1236,accepted,293
V6_uniform,1236,error,14
