variant,seed,expected_n,global_c2_count,global_c5_count,global_failure_recording_gap_rate,survey_local_context_final,survey_local_context_auc,survey_cgc_final,survey_unique_normalized_locs,proximity_singleton_failure_rate,proximity_d_loc_p95,proximity_co_failure_degree_p95,unique_locs_d_loc_le_2,unique_locs_d_glob_le_1,raw_accepts,triaged_propagated,triaged_hidden,triaged_weak,triaged_strong,soundness_score_candidates,repairability_singleton_rate,repairability_d_loc_p95,repairability_zero_residue_reject_rate
V5_control,1234,10000,0,0,0.0,47.0,447796.5,373.0,47.0,0.12201220122012202,6.0,32.0,32.0,36.0,0,0,0,0,0,0,0.12201220122012202,6.0,0.0669066906690669
V5_control,1235,10000,0,0,0.0,46.0,442399.0,368.0,46.0,0.125,6.0,30.75,31.0,35.0,0,0,0,0,0,0,0.125,6.0,0.0749
V5_control,1236,10000,0,0,0.0,49.0,454609.5,372.0,49.0,0.1253250650130026,6.0,32.599999999999994,30.0,36.0,0,0,0,0,0,0,0.1253250650130026,6.0,0.07481496299259852
V6_uniform,1234,10000,2385,490,0.2513701517706577,34.0,323935.0,495.0,34.0,0.1063,0.0,30.0,18.0,0.0,256,22,0,22,0,22,0.1063,0.0,0.0
V6_uniform,1235,10000,2411,495,0.254110455311973,36.0,322844.0,482.0,36.0,0.1016,0.0,31.0,19.0,0.0,234,9,0,9,0,9,0.1016,0.0,0.0
V6_uniform,1236,10000,2410,525,0.25472994398055177,35.0,321303.5,484.0,35.0,0.1091,0.0,30.0,18.0,0.0,220,11,0,11,0,11,0.1091,0.0,0.0
V6_cTS,1234,10000,3473,494,0.365925613739332,36.0,335898.5,619.0,36.0,0.114,0.0,31.0,36.0,36.0,256,27,0,27,0,27,0.114,0.0,0.5332
V6_cTS,1235,10000,3505,551,0.37168610816542946,36.0,348065.5,615.0,36.0,0.1116,0.0,31.0,36.0,36.0,144,11,0,11,0,11,0.1116,0.0,0.5253
V6_cTS,1236,10000,3410,573,0.3627659574468085,36.0,346763.5,619.0,36.0,0.1137,0.0,31.5,36.0,36.0,149,12,0,12,0,12,0.1137,0.0,0.5305
Hybrid_cTS,1234,10000,1255,203,0.16679957469431153,48.0,459934.0,500.0,48.0,0.1348,5.0,35.0,39.0,39.0,82,10,0,10,0,10,0.1348,5.0,0.243
Hybrid_cTS,1235,10000,1242,184,0.16689062080085998,49.0,465880.5,517.0,49.0,0.128,5.0,37.599999999999994,39.0,39.0,50,5,0,5,0,5,0.128,5.0,0.2373
Hybrid_cTS,1236,10000,1248,203,0.1670682730923695,48.0,464855.0,502.0,48.0,0.1297,5.0,36.0,42.0,42.0,32,3,0,3,0,3,0.1297,5.0,0.2435
