variant,seed,unique_locs_d_loc_le_2,unique_locs_d_glob_le_1,proximity_singleton_failure_rate,repairability_d_loc_p95
V5_control,1234,32.0,36.0,0.12201220122012202,6.0
V5_control,1235,31.0,35.0,0.125,6.0
V5_control,1236,30.0,36.0,0.1253250650130026,6.0
V6_uniform,1234,18.0,0.0,0.1063,0.0
V6_uniform,1235,19.0,0.0,0.1016,0.0
V6_uniform,1236,18.0,0.0,0.1091,0.0
V6_cTS,1234,36.0,36.0,0.114,0.0
V6_cTS,1235,36.0,36.0,0.1116,0.0
V6_cTS,1236,36.0,36.0,0.1137,0.0
Hybrid_cTS,1234,39.0,39.0,0.1348,5.0
Hybrid_cTS,1235,39.0,39.0,0.128,5.0
Hybrid_cTS,1236,42.0,42.0,0.1297,5.0
