variant,seed,mutation_id,kind,step,iter_seed,class,evidence,trace_changed,post_inject_pc_changed,post_inject_trace_changed,inject_disasm_changed,unaligned_access,fault_word_change,global_residue
Hybrid_cTS,1234,90,INSTR_WORD_MOD,694,1234000090,accepted_noop,,False,False,False,False,False,115=>131187,False
Hybrid_cTS,1234,106,INSTR_WORD_MOD,933,1234000106,accepted_noop,,False,False,False,False,False,115=>524403,False
Hybrid_cTS,1234,123,INSTR_WORD_MOD,3591,1234000123,accepted_noop,,False,False,False,False,False,807403635=>807436403,False
Hybrid_cTS,1234,132,INSTR_WORD_MOD,6,1234000132,accepted_propagated_candidate,weak,True,False,False,True,True,6463523=>6463651,False
Hybrid_cTS,1234,136,INSTR_WORD_MOD,175,1234000136,accepted_noop,,False,False,False,False,False,807403635=>808452211,False
Hybrid_cTS,1234,140,INSTR_WORD_MOD,762,1234000140,accepted_noop,cosmetic,True,False,False,True,False,19224675=>19225699,False
Hybrid_cTS,1234,141,INSTR_WORD_MOD,170,1234000141,accepted_noop,,False,False,False,False,False,115=>243,False
Hybrid_cTS,1234,348,INSTR_WORD_MOD,698,1234000348,accepted_noop,,False,False,False,False,False,115=>262259,False
Hybrid_cTS,1234,353,INSTR_WORD_MOD,276,1234000353,accepted_noop,cosmetic,True,False,False,True,False,44561507=>44560483,False
Hybrid_cTS,1234,363,INSTR_WORD_MOD,2386,1234000363,accepted_propagated_candidate,weak,True,False,False,True,False,150364771=>150364259,False
Hybrid_cTS,1234,375,INSTR_WORD_MOD,3961,1234000375,accepted_noop,,False,False,False,False,False,115=>131187,False
Hybrid_cTS,1234,379,INSTR_WORD_MOD,3753,1234000379,accepted_propagated_candidate,weak,True,False,False,True,False,267777427=>234222995,False
Hybrid_cTS,1234,380,INSTR_WORD_MOD,3766,1234000380,accepted_propagated_candidate,weak,True,False,False,True,False,116811363=>251029091,False
Hybrid_cTS,1234,387,INSTR_WORD_MOD,278,1234000387,accepted_noop,,False,False,False,False,False,115=>371,False
Hybrid_cTS,1234,393,INSTR_WORD_MOD,2507,1234000393,accepted_noop,cosmetic,True,False,False,True,False,19224675=>19225187,False
Hybrid_cTS,1234,543,INSTR_WORD_MOD,2151,1234000543,accepted_propagated_candidate,weak,True,False,False,True,False,11986019=>11986531,False
Hybrid_cTS,1234,549,INSTR_WORD_MOD,519,1234000549,accepted_noop,,False,False,False,False,False,115=>131187,False
Hybrid_cTS,1234,605,INSTR_WORD_MOD,2813,1234000605,accepted_propagated_candidate,weak,True,False,False,True,True,16853027=>16853155,False
Hybrid_cTS,1234,699,INSTR_WORD_MOD,858,1234000699,accepted_noop,,False,False,False,False,False,807403635=>807665779,False
Hybrid_cTS,1234,754,INSTR_WORD_MOD,773,1234000754,accepted_noop,,False,False,False,False,False,115=>131187,False
Hybrid_cTS,1234,788,INSTR_WORD_MOD,1944,1234000788,accepted_noop,cosmetic,True,False,False,True,False,10751587=>77860451,False
Hybrid_cTS,1234,1637,INSTR_WORD_MOD,920,1234001637,accepted_noop,,False,False,False,False,False,115=>131187,False
Hybrid_cTS,1234,1638,INSTR_WORD_MOD,19,1234001638,accepted_noop,,False,False,False,False,False,807403635=>807404147,False
Hybrid_cTS,1234,1714,INSTR_WORD_MOD,3943,1234001714,accepted_propagated_candidate,weak,True,False,False,True,True,7546403=>7546659,False
