variant,seed,mutation_id,kind,step,iter_seed,class,evidence,trace_changed,post_inject_pc_changed,post_inject_trace_changed,inject_disasm_changed,unaligned_access,fault_word_change,global_residue,run_id
V6_cTS,1236,2324,POST_EXEC_PC_MOD,905,1236002324,accepted_noop,cf_inert,False,False,False,False,False,2122036=>2122040,False,triage_V6_cTS_s1236_POST_EXEC_PC_MOD_step905_is1236002324
V6_uniform,1234,4901,POST_EXEC_PC_MOD,3725,1234004901,accepted_noop,cf_inert,False,False,False,False,False,2119520=>2119524,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3725_is1234004901
V6_uniform,1234,6572,POST_EXEC_PC_MOD,624,1234006572,accepted_noop,cf_inert,False,False,False,False,False,2122156=>2122160,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step624_is1234006572
V6_uniform,1234,9328,POST_EXEC_PC_MOD,605,1234009328,accepted_noop,cf_inert,False,False,False,False,False,3221225596=>3221225600,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step605_is1234009328
V6_uniform,1234,8288,POST_EXEC_PC_MOD,603,1234008288,accepted_noop,cf_inert,False,False,False,False,False,3221225588=>3221225592,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step603_is1234008288
V6_uniform,1234,7495,POST_EXEC_PC_MOD,544,1234007495,accepted_noop,cf_inert,False,False,False,False,False,2122164=>2122168,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step544_is1234007495
V6_uniform,1234,3650,POST_EXEC_PC_MOD,536,1234003650,accepted_noop,cf_inert,False,False,False,False,False,3221225820=>3221225824,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step536_is1234003650
V6_uniform,1234,8534,POST_EXEC_PC_MOD,517,1234008534,accepted_noop,cf_inert,False,False,False,False,False,2122088=>2122092,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step517_is1234008534
V6_uniform,1234,8574,POST_EXEC_PC_MOD,514,1234008574,accepted_noop,cf_inert,False,False,False,False,False,2122076=>2122080,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step514_is1234008574
V6_uniform,1234,1600,POST_EXEC_PC_MOD,450,1234001600,accepted_noop,cf_inert,False,False,False,False,False,3221225796=>3221225800,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step450_is1234001600
V6_uniform,1234,3341,POST_EXEC_PC_MOD,441,1234003341,accepted_noop,cf_inert,False,False,False,False,False,3221225588=>3221225592,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step441_is1234003341
V6_uniform,1234,2624,POST_EXEC_PC_MOD,421,1234002624,accepted_noop,cf_inert,False,False,False,False,False,2109872=>2109876,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step421_is1234002624
V6_uniform,1234,9968,POST_EXEC_PC_MOD,3956,1234009968,accepted_noop,cf_inert,False,False,False,False,False,3221225700=>3221225704,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3956_is1234009968
V6_uniform,1234,2577,POST_EXEC_PC_MOD,3846,1234002577,accepted_noop,cf_inert,False,False,False,False,False,2119700=>2119704,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3846_is1234002577
V6_uniform,1234,5944,POST_EXEC_PC_MOD,3794,1234005944,accepted_noop,cf_inert,False,False,False,False,False,2119600=>2119604,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3794_is1234005944
V6_uniform,1234,5211,POST_EXEC_PC_MOD,378,1234005211,accepted_noop,cf_inert,False,False,False,False,False,2122100=>2122104,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step378_is1234005211
V6_uniform,1234,4106,POST_EXEC_PC_MOD,3788,1234004106,accepted_noop,cf_inert,False,False,False,False,False,2119576=>2119580,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3788_is1234004106
V6_uniform,1234,3481,POST_EXEC_PC_MOD,3781,1234003481,accepted_noop,cf_inert,False,False,False,False,False,2119548=>2119552,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3781_is1234003481
V6_uniform,1234,5598,POST_EXEC_PC_MOD,3759,1234005598,accepted_noop,cf_inert,False,False,False,False,False,2110056=>2110060,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3759_is1234005598
V6_uniform,1234,75,POST_EXEC_PC_MOD,3756,1234000075,accepted_noop,cf_inert,False,False,False,False,False,2110044=>2110048,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3756_is1234000075
V6_uniform,1234,3551,POST_EXEC_PC_MOD,3746,1234003551,accepted_noop,cf_inert,False,False,False,False,False,2110004=>2110008,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3746_is1234003551
V6_uniform,1234,322,POST_EXEC_PC_MOD,625,1234000322,accepted_noop,cf_inert,False,False,False,False,False,2122160=>2122164,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step625_is1234000322
V6_uniform,1234,2250,POST_EXEC_PC_MOD,683,1234002250,accepted_noop,cf_inert,False,False,False,False,False,3221225588=>3221225592,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step683_is1234002250
V6_uniform,1234,8881,POST_EXEC_PC_MOD,698,1234008881,accepted_noop,cf_inert,False,False,False,False,False,3221225820=>3221225824,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step698_is1234008881
V6_uniform,1234,6806,POST_EXEC_PC_MOD,93,1234006806,accepted_noop,cf_inert,False,False,False,False,False,2110120=>2110124,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step93_is1234006806
V6_uniform,1235,2959,INSTR_WORD_MOD,1410,1235002959,accepted_noop,cosmetic,True,False,False,True,False,15113827=>15114083,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1410_is1235002959
V6_uniform,1235,634,INSTR_WORD_MOD,1273,1235000634,accepted_noop,word_truncated,True,False,False,True,True,45785635=>45785763,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1273_is1235000634
V6_uniform,1235,9356,INSTR_WORD_MOD,1251,1235009356,accepted_noop,word_truncated,True,False,False,True,True,12656771=>14753923,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1251_is1235009356
V6_uniform,1235,8158,INSTR_WORD_MOD,1152,1235008158,accepted_noop,,False,False,False,False,False,32871=>36967,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1152_is1235008158
V6_uniform,1235,8354,INSTR_WORD_MOD,1096,1235008354,accepted_noop,cosmetic,True,False,False,True,False,19224675=>287660131,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1096_is1235008354
V6_uniform,1235,3612,INSTR_WORD_MOD,1020,1235003612,accepted_noop,,False,False,False,False,False,807403635=>807404659,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1020_is1235003612
V6_uniform,1235,4685,INSTR_WORD_MOD,1019,1235004685,accepted_noop,,False,False,False,False,False,115=>131187,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1019_is1235004685
V6_uniform,1235,1191,INSTR_WORD_MOD,1004,1235001191,accepted_noop,cosmetic,True,False,False,True,False,19224675=>1092966499,False,triage_V6_uniform_s1235_INSTR_WORD_MOD_step1004_is1235001191
V6_uniform,1234,4441,POST_EXEC_PC_MOD,93,1234004441,accepted_noop,cf_inert,False,False,False,False,False,2110120=>2110124,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step93_is1234004441
V6_uniform,1234,1842,POST_EXEC_PC_MOD,721,1234001842,accepted_noop,cf_inert,False,False,False,False,False,2099580=>2099584,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step721_is1234001842
V6_uniform,1234,942,POST_EXEC_PC_MOD,922,1234000942,accepted_noop,cf_inert,False,False,False,False,False,3221225588=>3221225592,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step922_is1234000942
V6_uniform,1234,3579,POST_EXEC_PC_MOD,862,1234003579,accepted_noop,cf_inert,False,False,False,False,False,2122152=>2122156,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step862_is1234003579
V6_uniform,1234,4980,POST_EXEC_PC_MOD,861,1234004980,accepted_noop,cf_inert,False,False,False,False,False,2122148=>2122152,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step861_is1234004980
V6_uniform,1234,3423,POST_EXEC_PC_MOD,842,1234003423,accepted_noop,cf_inert,False,False,False,False,False,3221225588=>3221225592,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step842_is1234003423
V6_uniform,1234,5206,POST_EXEC_PC_MOD,7,1234005206,accepted_noop,cf_inert,False,False,False,False,False,3221225500=>3221225504,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step7_is1234005206
V6_uniform,1234,6080,POST_EXEC_PC_MOD,785,1234006080,accepted_noop,cf_inert,False,False,False,False,False,2122164=>2122168,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step785_is1234006080
V6_uniform,1234,9590,POST_EXEC_PC_MOD,762,1234009590,accepted_noop,cf_inert,False,False,False,False,False,3221225588=>3221225592,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step762_is1234009590
V6_uniform,1234,667,POST_EXEC_PC_MOD,74,1234000667,accepted_noop,cf_inert,False,False,False,False,False,2110044=>2110048,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step74_is1234000667
V6_uniform,1234,922,POST_EXEC_PC_MOD,372,1234000922,accepted_noop,cf_inert,False,False,False,False,False,3221225804=>3221225808,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step372_is1234000922
V6_uniform,1234,4083,POST_EXEC_PC_MOD,3725,1234004083,accepted_noop,cf_inert,False,False,False,False,False,2119520=>2119524,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3725_is1234004083
V6_cTS,1236,2238,POST_EXEC_PC_MOD,933,1236002238,accepted_noop,cf_inert,False,False,False,False,False,3221225804=>3221225808,False,triage_V6_cTS_s1236_POST_EXEC_PC_MOD_step933_is1236002238
V6_uniform,1234,762,POST_EXEC_PC_MOD,3725,1234000762,accepted_noop,cf_inert,False,False,False,False,False,2119520=>2119524,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3725_is1234000762
V6_uniform,1234,8085,POST_EXEC_PC_MOD,3494,1234008085,accepted_noop,cf_inert,False,False,False,False,False,2195800=>2195804,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3494_is1234008085
V6_uniform,1234,6488,POST_EXEC_PC_MOD,3494,1234006488,accepted_noop,cf_inert,False,False,False,False,False,2195800=>2195804,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3494_is1234006488
V6_uniform,1234,4185,POST_EXEC_PC_MOD,3494,1234004185,accepted_noop,cf_inert,False,False,False,False,False,2195800=>2195804,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3494_is1234004185
V6_uniform,1234,391,POST_EXEC_PC_MOD,3494,1234000391,accepted_noop,cf_inert,False,False,False,False,False,2195800=>2195804,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3494_is1234000391
V6_uniform,1234,4679,POST_EXEC_PC_MOD,3467,1234004679,accepted_noop,cf_inert,False,False,False,False,False,2116860=>2116864,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3467_is1234004679
V6_uniform,1234,9798,POST_EXEC_PC_MOD,3464,1234009798,accepted_noop,cf_inert,False,False,False,False,False,2116848=>2116852,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3464_is1234009798
V6_uniform,1234,8486,POST_EXEC_PC_MOD,3459,1234008486,accepted_noop,cf_inert,False,False,False,False,False,2116712=>2116716,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3459_is1234008486
V6_uniform,1234,8188,POST_EXEC_PC_MOD,3436,1234008188,accepted_noop,cf_inert,False,False,False,False,False,2110528=>2110532,False,triage_V6_uniform_s1234_POST_EXEC_PC_MOD_step3436_is1234008188
