variant,seed,N,n_planted_finds,planted_find_indices,n_benign_accepts,benign_accept_indices,benign_accept_kinds
V8_arguzz_sched,1234,5000,66,46 268 356 374 440 447 465 499 680 786 834 887 930 1150 1338 1485 1660 1842 1871 1951 1968 2038 2072 2089 2106 2166 2168 2173 2454 2477 2493 2537 2677 2801 2934 2971 3000 3050 3101 3245 3370 3393 3410 3551 3600 3651 3673 3704 3718 3877 4033 4035 4052 4142 4153 4192 4195 4203 4222 4230 4311 4321 4352 4516 4545 4582,0,,
V8_arguzz_sched,1235,5000,58,205 291 462 543 586 618 671 709 836 976 981 986 1190 1208 1263 1288 1307 1361 1444 1508 1766 1773 1783 1929 1968 2069 2154 2203 2279 2685 2955 3106 3210 3313 3356 3446 3543 3608 3634 3746 3886 3896 3939 3957 3968 3989 4073 4125 4323 4325 4376 4383 4412 4758 4851 4894 4969 4978,0,,
V8_arguzz_sched,1236,5000,52,33 173 245 304 348 548 666 930 1036 1074 1106 1129 1178 1195 1409 1422 1460 1520 1524 1691 1904 2168 2326 2367 2522 2750 2793 2823 2828 2893 2976 3038 3263 3482 3560 3639 4130 4132 4140 4157 4288 4428 4499 4509 4680 4684 4699 4846 4897 4899 4947 4997,0,,
V8_arguzz_sched,1237,5000,61,57 60 155 240 323 358 374 386 791 875 915 940 980 1084 1167 1180 1389 1451 1489 1612 1622 1632 1642 1820 2037 2102 2115 2180 2290 2324 2416 2622 2760 2845 3115 3191 3217 3274 3316 3323 3517 3822 3888 3947 3966 3984 4096 4130 4233 4330 4332 4487 4497 4583 4645 4725 4734 4792 4842 4911 4924,0,,
V8_arguzz_sched,1238,5000,64,30 50 193 276 282 285 407 511 614 785 794 831 1009 1013 1082 1089 1143 1203 1204 1286 1356 1647 1704 1767 1784 2015 2314 2345 2418 2515 2532 2755 2873 2913 2932 3072 3084 3091 3165 3177 3301 3383 3515 3698 3711 3852 3901 3998 4215 4275 4333 4334 4344 4345 4416 4452 4453 4522 4755 4786 4832 4869 4897 4918,0,,
V8_arguzz_sched,1239,5000,55,7 53 182 383 400 410 463 546 645 777 817 879 924 941 960 965 1121 1196 1197 1227 1358 1455 1472 1522 1745 1777 1926 1929 1971 2238 2241 2339 2401 2409 2570 2605 2700 2825 2836 2933 2950 3150 3459 3471 3575 3612 3824 3898 4096 4338 4630 4878 4908 4921 4958,0,,
V8_arguzz_sched,1240,5000,62,95 147 238 421 482 510 648 688 719 759 807 925 974 1022 1047 1053 1162 1234 1430 1552 1668 1858 1956 1973 2129 2162 2198 2251 2288 2318 2459 2492 2502 2571 2679 2751 2839 2864 2919 3031 3035 3140 3207 3218 3266 3363 3635 3682 3692 3702 3721 3761 3793 3963 3993 4082 4340 4406 4590 4759 4802 4828,0,,
V8_arguzz_sched,1241,5000,52,107 158 187 339 399 473 536 586 700 762 980 1359 1373 1409 1462 1555 1683 2008 2082 2084 2187 2392 2398 2706 2730 2755 2818 2941 2956 2992 3247 3282 3436 3579 3664 3725 3768 4003 4015 4021 4086 4140 4187 4309 4358 4608 4712 4717 4805 4923 4924 4964,0,,
V8_arguzz_sched,1242,5000,56,2 11 109 248 252 371 475 672 746 781 807 854 877 924 934 1002 1237 1312 1314 1386 1739 1757 1768 1811 1843 1953 2051 2065 2200 2229 2343 2789 2838 2915 2976 3211 3242 3452 3528 3583 3737 3780 3794 3908 3931 3937 4155 4161 4182 4215 4238 4375 4527 4538 4600 4771,0,,
V8_arguzz_sched,1243,5000,62,1 3 53 252 434 436 457 618 730 764 951 999 1029 1064 1203 1219 1336 1492 1540 1549 1895 1948 2086 2119 2123 2200 2336 2352 2405 2441 2460 2615 2815 2941 3003 3025 3032 3069 3100 3226 3439 3467 3571 3585 3682 3691 3959 3977 4054 4068 4188 4270 4337 4353 4396 4510 4554 4847 4867 4906 4916 4920,0,,
V0_uniform,1234,5000,40,181 263 662 765 780 901 955 1130 1378 1382 1448 1558 1564 1751 1757 1800 1837 1940 2049 2413 2523 2843 2853 2855 2907 3071 3301 3311 3404 3635 3679 3806 4153 4377 4378 4471 4477 4606 4614 4699,1,542,CYCLE_DIFF_COUNT_MOD
V0_uniform,1235,5000,57,206 213 228 337 384 443 528 873 955 1000 1076 1148 1180 1299 1339 1364 1466 1518 1689 1711 1730 1778 1788 1822 1899 2234 2282 2316 2399 2469 2494 2517 2696 2796 2942 2959 3043 3151 3241 3261 3273 3306 3379 3386 3484 3881 3953 3965 4210 4410 4498 4566 4638 4701 4738 4745 4838,0,,
V0_uniform,1236,5000,47,53 104 177 368 436 606 683 755 951 1071 1076 1102 1514 1590 1629 1675 1925 2042 2243 2369 2414 2434 2561 2631 2713 2741 2763 2796 2879 3108 3459 3597 3680 3698 3756 3786 3832 4058 4087 4321 4383 4468 4473 4509 4568 4680 4829,0,,
V0_uniform,1237,5000,48,13 127 140 148 156 235 486 611 655 667 696 1010 1045 1093 1231 1248 1541 1562 1567 1882 1915 1946 2020 2357 2575 2680 2685 2688 2837 3132 3300 3303 3547 3608 3670 3686 3692 3702 3914 4183 4544 4561 4615 4758 4808 4901 4935 4979,0,,
V0_uniform,1238,5000,53,57 372 452 513 576 578 734 763 983 1023 1152 1170 1181 1193 1220 1226 1293 1313 1380 1402 1526 1529 1585 2018 2074 2248 2249 2285 2350 2372 2427 2429 2534 2683 2798 2868 2947 3067 3225 3352 3478 3594 3679 4142 4235 4301 4308 4394 4452 4644 4808 4883 4905,0,,
V0_uniform,1239,5000,40,12 106 152 157 290 501 571 603 654 734 787 1110 1516 1580 1693 1842 1883 1998 2090 2233 2344 2376 2460 2466 2673 2825 2949 3164 3276 3761 3813 3843 4006 4013 4067 4248 4583 4705 4796 4952,0,,
V0_uniform,1240,5000,56,7 54 89 152 485 527 580 619 682 745 861 887 911 967 1151 1301 1386 1427 1511 1524 1547 1566 1776 2063 2066 2276 2362 2466 2519 2528 2615 2683 2809 2837 2863 2864 3009 3069 3145 3148 3269 3329 3440 3874 4004 4052 4282 4378 4413 4510 4552 4576 4599 4783 4784 4947,1,4972,CYCLE_DIFF_COUNT_MOD
V0_uniform,1241,5000,59,23 245 267 494 503 597 659 670 695 703 871 943 1009 1104 1129 1203 1606 1607 1669 1741 1887 1937 1955 1984 2033 2143 2222 2266 2353 2449 2501 2839 2872 3023 3076 3124 3206 3303 3304 3421 3471 3536 3609 3815 3840 3896 3930 3957 3964 3979 3984 4352 4375 4509 4645 4651 4796 4804 4879,0,,
V0_uniform,1242,5000,46,149 172 203 214 282 298 312 356 418 437 461 497 881 1204 1230 1530 1639 2006 2085 2199 2232 2388 2407 2627 2727 2774 3019 3030 3103 3166 3258 3311 3592 3638 3810 3910 3945 4099 4546 4566 4608 4611 4691 4729 4790 4922,0,,
V0_uniform,1243,5000,63,21 111 372 585 746 862 869 958 962 1029 1050 1081 1174 1236 1315 1392 1401 1736 1765 1782 1945 2006 2058 2090 2099 2120 2219 2292 2293 2385 2438 2553 2730 2731 2888 2896 2951 2955 3031 3086 3224 3396 3531 3552 3731 3740 3837 3994 4025 4129 4141 4169 4238 4289 4333 4354 4408 4461 4578 4665 4707 4750 4982,0,,
V5_control,1234,5000,77,19 490 493 519 616 717 719 721 800 819 1016 1080 1182 1317 1381 1398 1417 1419 1521 1600 1688 1700 1720 1791 1815 1980 2091 2281 2315 2317 2320 2386 2416 2488 2497 2518 2585 2586 2795 2921 2997 3080 3088 3089 3119 3179 3417 3491 3498 3518 3589 3599 3618 3716 3818 3889 3895 3920 3980 3996 4196 4281 4288 4317 4319 4486 4520 4581 4593 4695 4716 4779 4791 4819 4981 4985 4988,0,,
