source|guest|variant|seed|sum_hit|n_applied|n_ctx|tot_gf
stepdomain_rerun|g0_baseline|Hybrid_cTS|1236|14678|4900|447|17744
stepdomain_rerun|g0_baseline|V6_uniform|1234|15605|4746|495|34570
stepdomain_rerun|g2_mem_stress|V6_cTS|1235|33796|4696|552|34804
stepdomain_rerun|g3_accelerator|V6_cTS|1236|33558|4668|575|34370
stepdomain_rerun|g3_accelerator|V6_uniform|1234|16102|4751|498|35449
stepdomain_rerun|g0_baseline|V6_cTS|1234|33320|4653|569|33602
stepdomain_rerun|g0_baseline|V6_cTS|1236|33616|4696|549|33923
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1236|14747|4880|448|17822
stepdomain_rerun|g2_mem_stress|V6_uniform|1235|15667|4724|483|35386
stepdomain_rerun|g3_accelerator|V6_cTS|1234|33612|4672|569|34471
stepdomain_rerun|g0_baseline|Hybrid_cTS|1234|14545|4913|439|17319
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1234|14689|4907|442|17761
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1235|13974|4895|432|17242
stepdomain_rerun|g3_accelerator|V6_uniform|1236|16030|4737|511|35977
stepdomain_rerun|g0_baseline|V6_uniform|1235|15808|4754|495|34620
stepdomain_rerun|g1_ecall_control|V6_uniform|1234|16062|4769|480|34841
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1235|13833|4885|428|16514
stepdomain_rerun|g2_mem_stress|V6_uniform|1236|15539|4728|498|35387
stepdomain_rerun|g0_baseline|V6_cTS|1235|33552|4675|550|33613
stepdomain_rerun|g1_ecall_control|V6_cTS|1234|33976|4689|558|34667
stepdomain_rerun|g1_ecall_control|V6_uniform|1236|15876|4758|503|34437
stepdomain_rerun|g3_accelerator|V6_uniform|1235|15967|4746|500|35510
stepdomain_rerun|g0_baseline|Hybrid_cTS|1235|14509|4929|447|17618
stepdomain_rerun|g0_baseline|V6_uniform|1236|15381|4717|486|33895
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1234|14914|4893|430|17895
stepdomain_rerun|g2_mem_stress|V6_cTS|1236|34080|4682|552|34837
stepdomain_rerun|g2_mem_stress|V6_uniform|1234|15722|4738|497|35410
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1236|14927|4888|450|17626
stepdomain_rerun|g1_ecall_control|V6_cTS|1235|33866|4686|573|34451
stepdomain_rerun|g2_mem_stress|V6_cTS|1234|33186|4671|558|34042
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1235|14607|4913|448|17792
stepdomain_rerun|g1_ecall_control|V6_cTS|1236|33772|4713|567|34325
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1234|14972|4894|445|17776
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1236|14381|4905|455|17509
stepdomain_rerun|g3_accelerator|V6_cTS|1235|33506|4676|561|34616
3kind_rerun_external|g1_ecall_control|V5_control|1236|8240|4945|336|11540
3kind_rerun_external|g2_mem_stress|V5_control|1236|8355|4944|334|11687
3kind_rerun_external|g3_accelerator|V5_control|1236|7944|4977|318|10854
3kind_rerun_external|g0_baseline|V5_control|1234|8427|4976|321|12067
3kind_rerun_external|g1_ecall_control|V5_control|1234|8375|4949|323|11870
3kind_rerun_external|g2_mem_stress|V5_control|1234|8369|4942|303|11582
3kind_rerun_external|g0_baseline|V5_control|1235|8297|4963|319|11678
3kind_rerun_external|g1_ecall_control|V5_control|1235|8460|4967|313|11999
3kind_rerun_external|g3_accelerator|V5_control|1234|7964|4971|316|11044
3kind_rerun_external|g0_baseline|V5_control|1236|8372|4966|307|12007
3kind_rerun_external|g2_mem_stress|V5_control|1235|8161|4941|323|11368
3kind_rerun_external|g3_accelerator|V5_control|1235|8026|4976|313|11204
