source|guest|variant|seed|n_applied|n0|n1_10|ngt10
stepdomain_rerun|g0_baseline|Hybrid_cTS|1236|4900|627|3732|541
stepdomain_rerun|g0_baseline|V6_uniform|1234|4746|1634|1019|2093
stepdomain_rerun|g2_mem_stress|V6_cTS|1235|4696|1587|957|2152
stepdomain_rerun|g3_accelerator|V6_cTS|1236|4668|1572|976|2120
stepdomain_rerun|g3_accelerator|V6_uniform|1234|4751|1550|1112|2089
stepdomain_rerun|g0_baseline|V6_cTS|1234|4653|1683|894|2076
stepdomain_rerun|g0_baseline|V6_cTS|1236|4696|1723|865|2108
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1236|4880|598|3736|546
stepdomain_rerun|g2_mem_stress|V6_uniform|1235|4724|1504|1123|2097
stepdomain_rerun|g3_accelerator|V6_cTS|1234|4672|1569|1011|2092
stepdomain_rerun|g0_baseline|Hybrid_cTS|1234|4913|645|3752|516
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1234|4907|591|3795|521
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1235|4895|590|3803|502
stepdomain_rerun|g3_accelerator|V6_uniform|1236|4737|1501|1123|2113
stepdomain_rerun|g0_baseline|V6_uniform|1235|4754|1664|974|2116
stepdomain_rerun|g1_ecall_control|V6_uniform|1234|4769|1527|1146|2096
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1235|4885|618|3798|469
stepdomain_rerun|g2_mem_stress|V6_uniform|1236|4728|1558|1067|2103
stepdomain_rerun|g0_baseline|V6_cTS|1235|4675|1710|859|2106
stepdomain_rerun|g1_ecall_control|V6_cTS|1234|4689|1572|953|2164
stepdomain_rerun|g1_ecall_control|V6_uniform|1236|4758|1569|1128|2061
stepdomain_rerun|g3_accelerator|V6_uniform|1235|4746|1533|1135|2078
stepdomain_rerun|g0_baseline|Hybrid_cTS|1235|4929|661|3734|534
stepdomain_rerun|g0_baseline|V6_uniform|1236|4717|1647|1045|2025
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1234|4893|592|3729|572
stepdomain_rerun|g2_mem_stress|V6_cTS|1236|4682|1562|967|2153
stepdomain_rerun|g2_mem_stress|V6_uniform|1234|4738|1525|1114|2099
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1236|4888|626|3701|561
stepdomain_rerun|g1_ecall_control|V6_cTS|1235|4686|1572|988|2126
stepdomain_rerun|g2_mem_stress|V6_cTS|1234|4671|1604|955|2112
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1235|4913|619|3744|550
stepdomain_rerun|g1_ecall_control|V6_cTS|1236|4713|1607|991|2115
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1234|4894|571|3782|541
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1236|4905|600|3790|515
stepdomain_rerun|g3_accelerator|V6_cTS|1235|4676|1582|973|2121
3kind_rerun_external|g1_ecall_control|V5_control|1236|4945|358|4543|44
3kind_rerun_external|g2_mem_stress|V5_control|1236|4944|332|4569|43
3kind_rerun_external|g3_accelerator|V5_control|1236|4977|333|4617|27
3kind_rerun_external|g0_baseline|V5_control|1234|4976|336|4583|57
3kind_rerun_external|g1_ecall_control|V5_control|1234|4949|317|4580|52
3kind_rerun_external|g2_mem_stress|V5_control|1234|4942|332|4558|52
3kind_rerun_external|g0_baseline|V5_control|1235|4963|354|4568|41
3kind_rerun_external|g1_ecall_control|V5_control|1235|4967|325|4590|52
3kind_rerun_external|g3_accelerator|V5_control|1234|4971|335|4607|29
3kind_rerun_external|g0_baseline|V5_control|1236|4966|326|4601|39
3kind_rerun_external|g2_mem_stress|V5_control|1235|4941|351|4552|38
3kind_rerun_external|g3_accelerator|V5_control|1235|4976|327|4613|36
