source|guest|variant|seed|host|db_path|n_mut|ncamp|final_loc|final_ctx|final_cgc
stepdomain_rerun|g0_baseline|Hybrid_cTS|1236|gard|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_Hybrid_cTS_seed1236_n5000/run.db|5000|1|47|629|447
stepdomain_rerun|g0_baseline|V6_uniform|1234|gard|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_V6_uniform_seed1234_n5000/run.db|5000|1|33|290|495
stepdomain_rerun|g2_mem_stress|V6_cTS|1235|gard|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_V6_cTS_seed1235_n5000/run.db|5000|1|36|294|552
stepdomain_rerun|g3_accelerator|V6_cTS|1236|gard|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_V6_cTS_seed1236_n5000/run.db|5000|1|35|296|575
stepdomain_rerun|g3_accelerator|V6_uniform|1234|gard|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_V6_uniform_seed1234_n5000/run.db|5000|1|34|305|498
stepdomain_rerun|g0_baseline|V6_cTS|1234|goracle|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_V6_cTS_seed1234_n5000/run.db|5000|3|35|289|569
stepdomain_rerun|g0_baseline|V6_cTS|1236|goracle|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_V6_cTS_seed1236_n5000/run.db|5000|1|34|271|549
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1236|goracle|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_Hybrid_cTS_seed1236_n5000/run.db|5000|1|49|645|448
stepdomain_rerun|g2_mem_stress|V6_uniform|1235|goracle|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_V6_uniform_seed1235_n5000/run.db|5000|1|36|306|483
stepdomain_rerun|g3_accelerator|V6_cTS|1234|goracle|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_V6_cTS_seed1234_n5000/run.db|5000|1|36|297|569
stepdomain_rerun|g0_baseline|Hybrid_cTS|1234|idex|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_Hybrid_cTS_seed1234_n5000/run.db|5000|4|49|622|439
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1234|idex|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_Hybrid_cTS_seed1234_n5000/run.db|5000|1|47|605|442
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1235|idex|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_Hybrid_cTS_seed1235_n5000/run.db|5000|1|48|589|432
stepdomain_rerun|g3_accelerator|V6_uniform|1236|idex|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_V6_uniform_seed1236_n5000/run.db|5000|1|35|303|511
stepdomain_rerun|g0_baseline|V6_uniform|1235|meld|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_V6_uniform_seed1235_n5000/run.db|5000|1|32|288|495
stepdomain_rerun|g1_ecall_control|V6_uniform|1234|meld|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_V6_uniform_seed1234_n5000/run.db|5000|1|33|291|480
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1235|meld|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_Hybrid_cTS_seed1235_n5000/run.db|5000|1|48|597|428
stepdomain_rerun|g2_mem_stress|V6_uniform|1236|meld|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_V6_uniform_seed1236_n5000/run.db|5000|1|34|320|498
stepdomain_rerun|g0_baseline|V6_cTS|1235|tinyman|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_V6_cTS_seed1235_n5000/run.db|5000|1|36|287|550
stepdomain_rerun|g1_ecall_control|V6_cTS|1234|tinyman|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_V6_cTS_seed1234_n5000/run.db|5000|4|36|278|558
stepdomain_rerun|g1_ecall_control|V6_uniform|1236|tinyman|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_V6_uniform_seed1236_n5000/run.db|5000|1|36|290|503
stepdomain_rerun|g3_accelerator|V6_uniform|1235|tinyman|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_V6_uniform_seed1235_n5000/run.db|5000|1|35|309|500
stepdomain_rerun|g0_baseline|Hybrid_cTS|1235|yieldly|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_Hybrid_cTS_seed1235_n5000/run.db|5000|1|48|622|447
stepdomain_rerun|g0_baseline|V6_uniform|1236|yieldly|/tmp/chainjob_pos_iv_pos_9_b_g0_baseline_V6_uniform_seed1236_n5000/run.db|5000|1|33|296|486
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1234|yieldly|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_Hybrid_cTS_seed1234_n5000/run.db|5000|4|47|603|430
stepdomain_rerun|g2_mem_stress|V6_cTS|1236|yieldly|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_V6_cTS_seed1236_n5000/run.db|5000|1|35|302|552
stepdomain_rerun|g2_mem_stress|V6_uniform|1234|algofi|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_V6_uniform_seed1234_n5000/run.db|5000|1|36|314|497
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1236|stoi|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_Hybrid_cTS_seed1236_n5000/run.db|5000|1|50|559|450
stepdomain_rerun|g1_ecall_control|V6_cTS|1235|stoi|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_V6_cTS_seed1235_n5000/run.db|5000|1|37|275|573
stepdomain_rerun|g2_mem_stress|V6_cTS|1234|stoi|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_V6_cTS_seed1234_n5000/run.db|5000|2|36|297|558
stepdomain_rerun|g1_ecall_control|Hybrid_cTS|1235|pact|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_Hybrid_cTS_seed1235_n5000/run.db|5000|1|46|571|448
stepdomain_rerun|g1_ecall_control|V6_cTS|1236|pact|/tmp/chainjob_pos_iv_pos_9_b_g1_ecall_control_V6_cTS_seed1236_n5000/run.db|5000|1|35|279|567
stepdomain_rerun|g2_mem_stress|Hybrid_cTS|1234|pact|/tmp/chainjob_pos_iv_pos_9_b_g2_mem_stress_Hybrid_cTS_seed1234_n5000/run.db|5000|1|48|576|445
stepdomain_rerun|g3_accelerator|Hybrid_cTS|1236|pact|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_Hybrid_cTS_seed1236_n5000/run.db|5000|1|46|626|455
stepdomain_rerun|g3_accelerator|V6_cTS|1235|pact|/tmp/chainjob_pos_iv_pos_9_b_g3_accelerator_V6_cTS_seed1235_n5000/run.db|5000|1|36|304|561
3kind_rerun_external|g1_ecall_control|V5_control|1236|coinbase|/tmp/ivg_sweep/results_miss/sweep_b1/pos_iv_pos_9_b_g1_ecall_control_V5_control_seed1236_n5000/run.db|5000|1|47|686|336
3kind_rerun_external|g2_mem_stress|V5_control|1236|coinbase|/tmp/ivg_sweep/results_miss/sweep_b1/pos_iv_pos_9_b_g2_mem_stress_V5_control_seed1236_n5000/run.db|5000|1|46|655|334
3kind_rerun_external|g3_accelerator|V5_control|1236|coinbase|/tmp/ivg_sweep/results_miss/sweep_b1/pos_iv_pos_9_b_g3_accelerator_V5_control_seed1236_n5000/run.db|5000|1|46|656|318
3kind_rerun_external|g0_baseline|V5_control|1234|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b1/pos_iv_pos_9_b_g0_baseline_V5_control_seed1234_n5000/run.db|5000|1|45|651|321
3kind_rerun_external|g1_ecall_control|V5_control|1234|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b1/pos_iv_pos_9_b_g1_ecall_control_V5_control_seed1234_n5000/run.db|5000|1|46|673|323
3kind_rerun_external|g2_mem_stress|V5_control|1234|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b1/pos_iv_pos_9_b_g2_mem_stress_V5_control_seed1234_n5000/run.db|5000|1|45|659|303
3kind_rerun_external|g0_baseline|V5_control|1235|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b2/pos_iv_pos_9_b_g0_baseline_V5_control_seed1235_n5000/run.db|5000|1|48|653|319
3kind_rerun_external|g1_ecall_control|V5_control|1235|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b2/pos_iv_pos_9_b_g1_ecall_control_V5_control_seed1235_n5000/run.db|5000|1|46|658|313
3kind_rerun_external|g3_accelerator|V5_control|1234|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b2/pos_iv_pos_9_b_g3_accelerator_V5_control_seed1234_n5000/run.db|5000|1|45|638|316
3kind_rerun_external|g0_baseline|V5_control|1236|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b3/pos_iv_pos_9_b_g0_baseline_V5_control_seed1236_n5000/run.db|4999|1|46|664|307
3kind_rerun_external|g2_mem_stress|V5_control|1235|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b3/pos_iv_pos_9_b_g2_mem_stress_V5_control_seed1235_n5000/run.db|5000|1|46|677|323
3kind_rerun_external|g3_accelerator|V5_control|1235|coinbase|/tmp/ivg_sweep/results_rerun/sweep_b3/pos_iv_pos_9_b_g3_accelerator_V5_control_seed1235_n5000/run.db|5000|1|45|656|313
