run_id,fuzzer,variant,kind,role,seed,inject_step,a4_step,mutated_value,mutated_word_hex,field_class,outcome_class,intrastep_local,interstep_local,global,layers_triple,failure_count,constraints_json
arguzz_COMP_OUT_MOD_s0,arguzz,,COMP_OUT_MOD,add,0,195,193,6,,,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""residue"": 2013265920, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""value"": 2013265920, ""verified"": true, ""predicted"": 2013265920, ""observed"": 2013265920, ""formula"": ""(mutated - original) mod p"", ""original"": 7, ""mutated"": 6}}]"
arguzz_COMP_OUT_MOD_s1,arguzz,,COMP_OUT_MOD,add,1,195,193,6,,,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""residue"": 2013265920, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""value"": 2013265920, ""verified"": true, ""predicted"": 2013265920, ""observed"": 2013265920, ""formula"": ""(mutated - original) mod p"", ""original"": 7, ""mutated"": 6}}]"
arguzz_COMP_OUT_MOD_s2,arguzz,,COMP_OUT_MOD,add,2,195,193,0,,,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""residue"": 2013265914, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""value"": 2013265914, ""verified"": true, ""predicted"": 2013265914, ""observed"": 2013265914, ""formula"": ""(mutated - original) mod p"", ""original"": 7, ""mutated"": 0}}]"
arguzz_COMP_OUT_MOD_s3,arguzz,,COMP_OUT_MOD,add,3,195,193,8,,,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""residue"": 1, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""value"": 1, ""verified"": true, ""predicted"": 1, ""observed"": 1, ""formula"": ""(mutated - original) mod p"", ""original"": 7, ""mutated"": 8}}]"
arguzz_COMP_OUT_MOD_s4,arguzz,,COMP_OUT_MOD,add,4,195,193,8,,,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""residue"": 1, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""value"": 1, ""verified"": true, ""predicted"": 1, ""observed"": 1, ""formula"": ""(mutated - original) mod p"", ""original"": 7, ""mutated"": 8}}]"
arguzz_INSTR_WORD_MOD_s0,arguzz,,INSTR_WORD_MOD,add,0,195,193,,0x00c5c5b3,operation,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpXOR ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :100:20)))"", ""residue"": 2013265917, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpXOR ( zirgen/circuit/rv32im/v2/dsl"", ""value"": 2013265917, ""verified"": false, ""reason"": ""non-scalar mutation""}}]"
arguzz_INSTR_WORD_MOD_s1,arguzz,,INSTR_WORD_MOD,add,1,195,193,,0xf9681a67,control_flow,PROVE_ERROR,0,0,0,—,0,[]
arguzz_INSTR_WORD_MOD_s10,arguzz,,INSTR_WORD_MOD,add,10,195,193,,0x00c58593,format_change,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at callsite( OpADDI ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :127:18) at  Misc0 ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :40:29))))"", ""residue"": 32, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 7, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at callsite( OpADDI ( zirgen/circuit/rv32im"", ""value"": 32, ""verified"": false, ""reason"": ""non-scalar mutation""}}]"
arguzz_INSTR_WORD_MOD_s11,arguzz,,INSTR_WORD_MOD,add,11,195,193,,0x00c581b3,dest_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s12,arguzz,,INSTR_WORD_MOD,add,12,195,193,,0x008585b3,src_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
